6.417212426E-4	7.190575707E-4	3.720564710E-4	NaN	NaN	1.545905834E-4	4.694315139E-4	4.981200327E-4	2.628840157E-4	2.061412961E-4	4.230930936E-4	5.228318041E-4	4.149430024E-4	3.099803871E-4	3.362470015E-4	4.868236429E-4	5.982290604E-4	6.047477364E-4	4.581294197E-4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5.449185264E-4	4.656641395E-4	4.561276874E-4	1.525714033E-4	NaN	NaN	NaN	NaN	1.387477823E-4	2.095978271E-4	2.039870305E-4	2.907729358E-4	4.431604175E-4	4.389271489E-4	1.989159791E-4	NaN	NaN	1.765490160E-4	3.215424076E-4	2.867758158E-4	1.203947104E-4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.309443418E-4	7.251690258E-4	7.543129614E-4	6.755508948E-4	7.383319899E-4	7.574735791E-4	4.492075532E-4	6.002929877E-5	NaN	4.174900096E-5	1.478416671E-4	1.653189393E-4	2.442088735E-4	4.959117505E-4	5.122682778E-4	2.241370676E-4	1.776157587E-4	3.904660989E-4	3.166928946E-4	NaN	NaN	NaN	2.161078155E-4	3.655844484E-4	2.023807028E-4	NaN	2.833511644E-5	3.925306082E-4	4.472268338E-4	1.856435119E-4	NaN	NaN	2.788001984E-5	1.768243819E-4	1.529253932E-4	9.592950664E-5	7.133116014E-5	4.852452184E-5	7.018769975E-5	NaN	NaN	1.754386467E-4	2.026049624E-4	5.338202755E-5	2.732649737E-4	3.900509328E-4	3.370448030E-5	NaN	5.115955719E-5	3.082006588E-4	5.998043343E-4	6.247769925E-4	3.541542683E-4	2.141834557E-4	2.474740031E-4	1.738737337E-4	NaN	NaN	5.736793901E-5	2.993936068E-4	3.047524078E-4	1.974537008E-4	1.886529935E-4	4.075433244E-4	6.339625688E-4	6.652250304E-4	5.594579852E-4	2.222322510E-4	NaN	NaN	NaN	7.798435399E-5	1.890738786E-4	2.445347782E-4	2.815574699E-4	2.408044529E-4	1.072207087E-4	NaN	NaN	NaN	NaN	1.217590543E-4	4.709164496E-4	6.681798259E-4	4.142773687E-4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.277474948E-4	3.806039458E-4	4.730492365E-4	4.624409485E-4	1.381262555E-4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	7.692206418E-5	4.333822872E-4	7.740010624E-4	5.942320568E-4
2.005317365E-4	2.993351081E-4	1.085314143E-4	NaN	NaN	2.866016530E-6	3.790513438E-4	6.038688589E-4	5.530515336E-4	4.428503162E-4	3.701825626E-4	3.547211818E-4	5.249762326E-4	6.360699190E-4	4.229703336E-4	1.518519275E-4	8.744974184E-5	1.954097243E-4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.673591127E-4	3.237963247E-4	5.082198768E-4	6.015750696E-4	1.857351162E-4	NaN	NaN	NaN	1.829612156E-4	2.431785833E-4	1.391815167E-4	1.207228415E-4	2.976532269E-4	4.909787094E-4	4.950599978E-4	2.330601565E-4	1.281187997E-5	8.860199887E-5	2.756417380E-4	2.591116063E-4	9.332939044E-6	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.568223088E-4	5.444358103E-4	5.782529479E-4	5.014745402E-4	5.949784536E-4	5.993265659E-4	3.308332816E-4	1.615186047E-4	2.826869022E-4	4.020302440E-4	3.807471367E-4	2.735183807E-4	3.287133295E-4	6.097712903E-4	6.600517663E-4	3.571631096E-4	1.881610951E-4	3.236766788E-4	3.277109063E-4	5.093467553E-5	NaN	NaN	1.758517028E-4	5.282617058E-4	4.415227741E-4	6.343655696E-5	1.238209825E-5	3.737871302E-4	5.406006239E-4	3.474307596E-4	4.528778300E-5	NaN	1.225888118E-4	2.804099349E-4	1.997389481E-4	1.200969564E-4	1.429185068E-4	1.164711066E-4	2.275846600E-5	NaN	NaN	1.965314150E-4	2.228621597E-4	1.295708807E-5	1.704618044E-4	3.795776283E-4	1.193485223E-4	NaN	NaN	2.150451182E-4	5.678092712E-4	5.986324977E-4	3.710656893E-4	2.980690624E-4	3.385597083E-4	2.406856802E-4	6.020045112E-5	2.502592542E-5	2.753160952E-4	6.233635359E-4	6.936257123E-4	4.491582804E-4	2.237602021E-4	2.670638205E-4	3.864393220E-4	5.116921966E-4	6.718375371E-4	4.801424802E-4	5.876115756E-5	NaN	NaN	NaN	2.026020520E-4	2.227168443E-4	1.869573171E-4	1.165973154E-4	4.335094127E-5	3.958134039E-5	1.157752049E-4	1.665358432E-4	1.497250196E-4	2.150786604E-4	4.390470858E-4	5.933252978E-4	3.618221672E-4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.508876205E-4	4.149754823E-4	4.395228752E-4	4.382652987E-4	1.690569625E-4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.217285484E-5	3.171195858E-4	8.166466723E-4	8.500808035E-4
NaN	1.882153265E-5	NaN	NaN	NaN	NaN	1.858226897E-4	5.485107540E-4	7.160975365E-4	6.410065689E-4	2.879967215E-4	7.570335583E-5	4.178879026E-4	7.585232379E-4	4.871576675E-4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.591037821E-4	8.391600568E-4	7.280831342E-4	1.360187161E-4	NaN	9.621276695E-5	3.187897382E-4	3.906624333E-4	2.516886452E-4	1.347650104E-4	1.969622972E-4	3.420956782E-4	4.652780481E-4	3.432251106E-4	6.826695608E-5	2.716223389E-5	1.806775108E-4	1.567676081E-4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.189475927E-4	2.346949768E-4	1.767375797E-4	3.793642099E-4	5.027476582E-4	2.417419746E-4	5.817718557E-5	2.596750855E-4	4.280217981E-4	3.149564436E-4	1.630579500E-4	2.898525854E-4	5.948400940E-4	6.746652653E-4	4.424010986E-4	1.855985611E-4	1.809199312E-4	2.232582046E-4	9.206513641E-5	NaN	NaN	1.170411197E-4	6.114615244E-4	6.573610590E-4	2.960411657E-4	1.879380870E-4	4.604020214E-4	5.779069033E-4	3.935712739E-4	1.390659017E-4	6.729872985E-5	2.652862167E-4	4.462112847E-4	4.232741194E-4	3.402633884E-4	2.528196201E-4	1.133832629E-4	2.182930984E-6	NaN	NaN	2.646918292E-4	3.543313942E-4	1.880007330E-4	1.908793929E-4	3.512370167E-4	2.863385016E-4	4.760056981E-6	NaN	5.066929225E-5	3.136374871E-4	3.246369597E-4	1.994569175E-4	2.023499401E-4	3.033726825E-4	3.360907431E-4	3.382044088E-4	3.845226311E-4	5.612557870E-4	8.298447356E-4	8.008409641E-4	4.137695068E-4	1.327932405E-4	1.375382417E-4	1.528266439E-4	2.775785979E-4	5.658661830E-4	4.977082135E-4	1.325126941E-4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.037670028E-5	2.062327258E-4	2.537280961E-4	2.598100400E-4	3.740554384E-4	6.198753836E-4	7.211641059E-4	5.428015720E-4	2.911003830E-4	6.083143671E-5	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.414254996E-4	3.837381373E-4	3.639888018E-4	3.102099872E-4	1.589243766E-4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.196091398E-5	5.522366846E-4	8.294779109E-4
1.226889581E-4	1.042974109E-4	NaN	NaN	NaN	NaN	1.106600830E-4	3.967333178E-4	6.210909341E-4	6.319404929E-4	2.161621524E-4	NaN	6.519843009E-5	4.019975022E-4	2.588967618E-4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.617508533E-4	6.716751377E-4	7.912153960E-4	4.037092440E-4	1.743745524E-4	2.258579188E-4	3.191317955E-4	4.521479714E-4	4.717290576E-4	4.085518594E-4	3.314462083E-4	2.507979516E-4	3.443883907E-4	3.956312430E-4	2.113892260E-4	1.069970021E-4	1.169307434E-4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9.344979480E-5	4.367890360E-4	2.426081774E-4	NaN	1.324289042E-4	3.267592110E-4	1.642535499E-4	2.429663618E-5	2.523152798E-4	5.331396242E-4	5.397983477E-4	3.534145944E-4	1.122450994E-4	3.401898357E-5	4.011229248E-5	NaN	NaN	NaN	1.030903077E-4	6.024045870E-4	6.957461592E-4	3.319637617E-4	1.189642644E-4	3.061050666E-4	4.370466049E-4	3.383634030E-4	2.305309317E-4	2.186976781E-4	2.781277290E-4	3.127523523E-4	3.253595787E-4	3.395712120E-4	2.364118554E-4	4.907773837E-5	5.500551924E-5	2.102537546E-4	3.227067355E-4	4.822315532E-4	5.832282477E-4	4.531329614E-4	2.884270507E-4	2.942283172E-4	3.070836538E-4	9.983115888E-5	NaN	4.017541505E-5	1.209199982E-4	1.163294837E-5	NaN	4.688994522E-5	2.264832874E-4	3.540402104E-4	4.528452409E-4	4.827887460E-4	4.757244606E-4	5.647387588E-4	4.817311128E-4	2.014812198E-4	1.165758367E-4	1.727601921E-4	1.236137614E-4	2.366975968E-4	5.256599397E-4	4.923387896E-4	2.163606841E-4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4.126792919E-5	1.555167109E-4	1.491658040E-4	1.983770053E-4	3.929605591E-4	6.453728420E-4	7.193479105E-4	7.152876351E-4	7.428760291E-4	4.928008420E-4	4.251937207E-5	NaN	7.461285713E-5	2.128142369E-4	1.626499288E-4	4.594046914E-5	3.234917676E-5	NaN	NaN	5.203879118E-5	2.686922671E-4	2.640855673E-4	1.023015284E-4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.643714786E-4	5.155582330E-4
3.655294713E-4	3.808730398E-4	6.722885155E-5	NaN	NaN	4.860062836E-5	1.860300399E-4	3.272306931E-4	5.026984727E-4	5.972166546E-4	2.758227056E-4	NaN	NaN	9.979448078E-5	1.188419701E-4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.636860780E-5	5.365499965E-5	9.117870832E-6	2.156601113E-4	4.489520215E-4	4.365059140E-4	3.780081752E-4	2.707160893E-4	1.722743473E-4	3.093795676E-4	4.524894466E-4	4.950714647E-4	4.629554460E-4	3.517486330E-4	4.122951068E-4	4.887075047E-4	3.629382991E-4	3.119102330E-4	2.640323364E-4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.237226920E-4	2.052449563E-4	NaN	1.070421931E-4	3.132160637E-4	1.621103438E-4	9.223533561E-5	4.313378013E-4	6.934440462E-4	5.679817405E-4	2.937684767E-4	3.377948451E-5	NaN	NaN	NaN	NaN	NaN	3.269593071E-5	4.097821075E-4	5.754021695E-4	2.694591531E-4	NaN	NaN	1.765434426E-4	3.392480139E-4	4.153130285E-4	3.445660113E-4	2.005266724E-4	1.438821055E-4	1.859265467E-4	2.240179310E-4	1.392352133E-4	5.144666375E-6	1.164338973E-4	3.764047578E-4	4.479079798E-4	4.901573411E-4	5.688596284E-4	4.189306928E-4	2.009516320E-4	2.071924100E-4	2.606972994E-4	1.078987698E-4	NaN	5.158565546E-5	NaN	NaN	NaN	NaN	2.828177821E-4	3.676822525E-4	3.806132590E-4	3.672221501E-4	2.106621687E-4	1.082704403E-4	7.140218804E-5	1.153080448E-4	2.970988280E-4	2.889554016E-4	9.100312309E-5	1.998540101E-4	5.364125827E-4	5.561439903E-4	2.867126605E-4	7.730184734E-5	NaN	NaN	NaN	3.902922617E-5	NaN	NaN	NaN	1.930790750E-4	1.955601329E-4	1.718877320E-4	2.182198950E-4	2.856217907E-4	4.014384467E-4	5.540216225E-4	8.849976584E-4	1.173788798E-3	7.766035269E-4	NaN	NaN	1.539244404E-4	4.581769172E-4	4.276540421E-4	2.186974598E-4	9.702664829E-5	NaN	NaN	NaN	1.843970385E-4	1.803524938E-4	1.019773663E-5	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.740078243E-5	NaN	NaN	1.678482367E-4
4.736282572E-4	5.252833362E-4	3.414001840E-4	1.860413031E-4	1.600212418E-4	1.724537578E-4	2.396167401E-4	3.197745245E-4	4.157140211E-4	5.428520381E-4	4.219512921E-4	8.226223144E-5	1.396033531E-5	1.510298753E-4	2.505032171E-4	3.525608336E-4	2.614529221E-4	9.070686247E-6	NaN	NaN	NaN	NaN	NaN	3.323528217E-4	1.868525578E-4	1.049784478E-4	2.451947948E-4	1.990367600E-4	NaN	NaN	2.546756150E-5	2.288563992E-4	3.478178114E-4	2.518486872E-4	1.013605652E-4	1.418932079E-4	1.666776225E-4	1.989990706E-4	3.397582332E-4	4.347929207E-4	5.148549099E-4	4.810568353E-4	3.474106197E-4	4.379156744E-4	4.993430921E-4	1.650508202E-4	NaN	1.185505535E-4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9.966200014E-5	NaN	NaN	1.190413677E-4	4.035567981E-4	2.745962120E-4	1.537684147E-4	5.141714355E-4	8.907353622E-4	7.956686895E-4	3.830865608E-4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8.531055937E-5	3.157216997E-4	2.192030806E-4	NaN	NaN	NaN	3.179712221E-4	4.770919040E-4	2.718609758E-4	2.604954898E-5	7.503339293E-5	2.274530270E-4	2.332275762E-4	6.254050095E-5	NaN	NaN	1.632031635E-4	1.912609878E-4	2.013785124E-4	2.823506948E-4	1.124210830E-4	NaN	1.741383458E-4	3.909885709E-4	3.255794290E-4	2.034732461E-4	1.408460230E-4	NaN	NaN	NaN	5.880372919E-5	4.510300350E-4	4.727964115E-4	3.527881054E-4	3.093820997E-4	8.340182831E-5	NaN	NaN	4.712148439E-5	2.861705725E-4	1.242220897E-4	NaN	NaN	3.855224350E-4	5.297270836E-4	2.270038240E-4	NaN	3.135171573E-5	1.611264306E-4	3.844189923E-4	4.663884174E-4	1.470220450E-4	NaN	1.786801731E-4	3.941742470E-4	3.500049061E-4	3.402812872E-4	3.721958783E-4	2.688296081E-4	1.788562076E-4	3.475270642E-4	8.795548929E-4	1.293304027E-3	8.582352893E-4	NaN	NaN	8.350193821E-5	3.351520281E-4	4.450259148E-4	4.452355497E-4	3.458256542E-4	2.129538625E-4	1.203096035E-4	1.971826714E-4	2.685051877E-4	1.642318093E-4	8.129126945E-5	1.564506238E-4	2.773195156E-4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.912799489E-4	9.881024016E-5	5.672095722E-5	1.165913272E-4
4.574159102E-4	4.556365893E-4	3.776296217E-4	1.930228464E-4	NaN	NaN	NaN	1.530500012E-4	2.646471257E-4	3.594430455E-4	4.235283413E-4	3.320263932E-4	2.509894839E-4	2.499928523E-4	3.352140484E-4	5.634752451E-4	6.144156796E-4	3.542797349E-4	1.238169789E-4	NaN	NaN	NaN	1.146812865E-4	3.459412837E-4	2.768234990E-4	2.320465137E-4	3.583265643E-4	2.446954022E-4	NaN	NaN	NaN	5.576236435E-5	2.065486187E-4	2.347922564E-4	1.554780029E-4	5.023050471E-5	NaN	NaN	NaN	2.129909262E-4	4.004280781E-4	4.291408986E-4	3.752431949E-4	5.411672173E-4	6.869480130E-4	3.662074450E-4	1.315399004E-5	1.201861669E-4	2.529313206E-4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.461757394E-4	5.916547962E-4	4.425043298E-4	1.337531139E-4	3.663285170E-4	8.888278389E-4	9.776164079E-4	5.130321952E-4	NaN	NaN	NaN	2.062742424E-4	2.863545960E-4	2.090705239E-4	NaN	NaN	9.021012374E-6	9.283389954E-5	1.336342848E-5	NaN	NaN	2.677922021E-4	4.682656436E-4	1.901912474E-4	NaN	NaN	2.238569723E-4	3.819488338E-4	1.312731765E-4	NaN	NaN	NaN	8.873937622E-5	1.266929903E-4	1.969756850E-4	1.623116259E-5	NaN	1.073207823E-4	4.479660420E-4	5.665058270E-4	5.301687634E-4	3.682675888E-4	4.300076762E-5	NaN	NaN	1.328107464E-4	5.004383856E-4	5.756872706E-4	4.736701376E-4	3.931011888E-4	7.550373266E-5	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.511713828E-4	4.687436158E-4	1.809341193E-4	NaN	NaN	1.901112846E-4	6.157347816E-4	8.291293052E-4	3.943052725E-4	NaN	1.377116278E-4	3.529253881E-4	2.456373477E-4	1.703931775E-4	2.752776491E-4	2.487245074E-4	4.998635268E-5	6.694684271E-5	5.171995726E-4	9.862711886E-4	8.148244815E-4	1.756205747E-4	NaN	3.531047696E-5	1.651896018E-4	4.140102246E-4	6.669199211E-4	6.175770541E-4	4.339796142E-4	3.600400523E-4	4.455649178E-4	4.178621748E-4	1.523384708E-4	8.896266809E-5	2.881523978E-4	3.414737876E-4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.631052146E-4	2.992385125E-4	2.704343060E-4	2.680714824E-4
4.919261555E-4	3.583046491E-4	2.196877031E-4	NaN	NaN	NaN	NaN	NaN	1.607596787E-4	2.153511159E-4	2.879638050E-4	3.561678750E-4	3.350165789E-4	2.640090242E-4	2.803692187E-4	4.669820773E-4	5.947565078E-4	4.691793874E-4	2.370098518E-4	5.782592416E-5	NaN	NaN	1.077474808E-4	4.313416139E-4	4.728704807E-4	4.847272357E-4	5.667100195E-4	3.868056810E-4	1.460512576E-4	1.263401791E-4	1.499839709E-4	1.454947487E-4	2.312842698E-4	3.358305257E-4	3.342372947E-4	1.248139597E-4	NaN	NaN	NaN	NaN	1.740242442E-4	4.235372471E-4	5.126756150E-4	6.142662605E-4	7.158977678E-4	4.460631171E-4	NaN	NaN	2.075479460E-5	NaN	NaN	9.810068877E-5	1.536333875E-4	2.250083053E-4	2.130264329E-4	NaN	NaN	NaN	NaN	NaN	NaN	5.529532427E-5	3.516075085E-4	5.614287220E-4	3.832980583E-4	2.845617564E-5	1.267399784E-4	6.407884066E-4	8.964439039E-4	5.732801510E-4	5.064099605E-5	NaN	1.219215483E-4	4.370739043E-4	5.458236556E-4	4.022492503E-4	6.887608470E-5	NaN	NaN	NaN	2.790218559E-6	9.178299661E-5	1.181391926E-4	3.284814302E-4	5.859603407E-4	3.875122638E-4	NaN	NaN	1.253400260E-4	4.855233710E-4	NaN	NaN	NaN	NaN	2.159994328E-4	3.227761772E-4	3.807972244E-4	2.116605174E-4	NaN	NaN	1.053972665E-4	3.372433712E-4	4.945825785E-4	4.276429536E-4	1.287356718E-4	NaN	NaN	4.909774361E-5	2.302577923E-4	3.884036851E-4	4.699154524E-4	4.696638789E-4	1.818317251E-4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9.311063332E-5	3.558973258E-4	2.652389230E-4	1.290707314E-5	NaN	5.070688985E-6	4.379569727E-4	7.579416269E-4	4.481764627E-4	4.238244583E-5	1.506828121E-4	3.024951147E-4	6.012058293E-5	NaN	NaN	7.189104508E-5	NaN	NaN	1.683433075E-4	6.553459680E-4	8.378579514E-4	5.473798374E-4	2.845896524E-4	2.613727993E-4	2.818939392E-4	4.572722828E-4	6.302310503E-4	5.289337714E-4	4.141152604E-4	4.278359702E-4	4.665335873E-4	3.390810161E-4	5.526749374E-5	7.095951150E-5	3.276961797E-4	3.479995066E-4	1.837131422E-4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.100848167E-4	4.011073615E-4	3.797221289E-4	3.561976773E-4
4.697694967E-4	2.771957079E-4	9.397506801E-5	NaN	NaN	NaN	NaN	NaN	1.664255105E-4	1.545633131E-4	1.334821864E-4	1.997664658E-4	2.411314344E-4	2.071680210E-4	1.924708631E-4	3.020584991E-4	4.600193060E-4	4.603163979E-4	2.304686204E-4	NaN	NaN	NaN	2.455184876E-4	5.344683304E-4	5.834599142E-4	6.043048925E-4	6.615329767E-4	4.910257412E-4	2.972818911E-4	2.897498489E-4	3.247190907E-4	3.348552273E-4	3.686374403E-4	4.488008562E-4	5.138195120E-4	3.692666360E-4	7.223447028E-5	5.862072157E-6	4.946267654E-5	NaN	1.237849501E-4	3.936421708E-4	5.081411218E-4	5.366942496E-4	5.952943466E-4	4.042577639E-4	NaN	NaN	NaN	NaN	NaN	NaN	4.308601783E-4	7.020098856E-4	6.788457977E-4	4.939220380E-4	3.807274334E-4	1.866413950E-4	NaN	NaN	2.488572318E-5	1.863784710E-4	2.892127377E-4	3.190897405E-4	1.609850588E-4	NaN	NaN	2.875095524E-4	6.800386473E-4	6.349305040E-4	2.365861146E-4	NaN	1.149380914E-4	4.052816948E-4	5.228327936E-4	3.674196196E-4	4.021140921E-5	NaN	NaN	NaN	NaN	8.532644279E-5	3.017082927E-4	4.093336174E-4	5.801933003E-4	5.376541521E-4	9.434430103E-5	NaN	NaN	3.388756595E-4	NaN	NaN	NaN	NaN	9.422821313E-5	3.366879828E-4	4.282770387E-4	3.166375973E-4	8.374236495E-5	NaN	NaN	NaN	1.767268841E-4	2.373575844E-4	1.210927585E-4	8.708618407E-5	1.103261602E-4	NaN	NaN	6.557808229E-5	2.729175030E-4	3.809265327E-4	2.680910111E-4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.276415569E-4	3.672441526E-4	1.772916585E-4	NaN	NaN	1.965026058E-5	3.084980999E-4	2.252640115E-4	5.297374446E-5	2.151816589E-4	3.790285555E-4	1.980405068E-4	NaN	NaN	NaN	NaN	NaN	NaN	3.975008440E-4	7.089023129E-4	7.078769850E-4	6.199595518E-4	5.871158210E-4	5.456357612E-4	5.188228679E-4	3.587532847E-4	1.581406104E-4	2.942902211E-4	4.950379953E-4	3.972612612E-4	1.404216891E-4	8.584594980E-6	1.858732285E-4	3.775314835E-4	2.916715166E-4	1.778473816E-4	2.189701772E-4	2.954087977E-4	2.928566246E-4	NaN	NaN	NaN	NaN	NaN	NaN	1.056151741E-4	3.314215573E-4	2.834175248E-4	2.977646946E-4
4.414455907E-4	2.656126453E-4	1.609358733E-4	7.415637083E-5	NaN	1.046601756E-5	1.349093363E-4	2.370153525E-4	2.178998402E-4	7.714218373E-5	NaN	3.209095303E-5	9.227869305E-5	1.287868363E-4	1.506116387E-4	2.414118208E-4	4.038778716E-4	4.493206798E-4	2.403302642E-4	2.505114253E-6	1.280602464E-5	1.761942258E-4	3.271173628E-4	3.990721889E-4	3.536857548E-4	3.800771083E-4	4.831815604E-4	4.016912426E-4	2.376185003E-4	2.174046967E-4	3.784272121E-4	5.461377441E-4	5.385884433E-4	4.741092853E-4	5.093130749E-4	5.064120633E-4	4.216946545E-4	5.075028748E-4	5.268364330E-4	2.707659150E-4	1.705015748E-4	2.571032383E-4	3.120787442E-4	4.630892072E-4	6.629336276E-4	5.664182245E-4	2.323799126E-4	5.661281466E-5	1.447722525E-6	NaN	NaN	7.637925592E-5	5.598405842E-4	7.574978517E-4	6.784539437E-4	6.889230572E-4	7.763996255E-4	5.843356485E-4	2.399972582E-4	1.360242750E-4	2.624006593E-4	3.658637288E-4	3.871896188E-4	3.998432076E-4	2.619287116E-4	NaN	NaN	3.481716703E-5	4.684996384E-4	5.821028026E-4	2.116716350E-4	NaN	NaN	2.514885273E-4	3.885425685E-4	2.187839127E-4	NaN	NaN	NaN	NaN	NaN	NaN	3.269387526E-4	3.054185945E-4	2.555676328E-4	3.405896132E-4	1.982664835E-4	NaN	NaN	7.240693958E-5	NaN	NaN	NaN	NaN	NaN	1.704440510E-4	3.463936737E-4	3.157700994E-4	1.708483178E-4	NaN	NaN	NaN	NaN	NaN	3.415417450E-5	1.480698265E-4	2.426044666E-4	8.752388385E-5	NaN	NaN	1.514988835E-4	2.383810206E-4	1.815467695E-4	NaN	NaN	NaN	2.881338587E-4	2.141123696E-4	NaN	NaN	NaN	NaN	3.652217274E-4	2.977455442E-4	NaN	NaN	NaN	NaN	7.865413500E-5	8.995788085E-5	1.923298696E-4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.442087473E-5	2.797592606E-4	3.635216272E-4	3.751257318E-4	3.734428319E-4	4.573803453E-4	4.862886562E-4	1.537914941E-4	NaN	2.278230677E-4	5.474563222E-4	3.602300712E-4	5.471476834E-5	3.189882045E-5	2.382815583E-4	2.957843535E-4	9.335154755E-5	NaN	1.199263497E-4	4.263756564E-4	5.421617534E-4	3.828512272E-4	3.041167802E-4	2.824683324E-4	NaN	1.632198255E-4	1.997410145E-4	2.363336098E-4	1.936818153E-4	6.085246423E-5	1.249526540E-4
