NaN	1.287863506E-5	NaN	NaN	NaN	NaN	NaN	NaN	2.310518903E-4	6.394803058E-4	8.845026023E-4	7.564209518E-4	4.827787634E-4	2.886207658E-4	2.072981879E-4	2.470104664E-4	3.117763554E-4	2.827914432E-4	1.646859018E-4	1.911129802E-4	4.716953263E-4	5.467400188E-4	3.537159937E-4	2.252471168E-4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4.420787445E-5	4.012655700E-4	4.360289022E-4	8.099184015E-6	NaN	2.146414045E-4	5.438275402E-4	4.500632058E-4	3.192735312E-4	3.721115354E-4	4.641267878E-4	4.932716256E-4	3.976339067E-4	1.695435640E-4	9.208527445E-6	8.614805847E-5	2.777365735E-4	3.195957688E-4	3.757548402E-4	6.536372821E-4	NaN	NaN	1.009680098E-3	8.628643118E-4	8.464929415E-4	6.813430227E-4	4.349666124E-4	3.643842065E-4	3.537452139E-4	2.767573751E-4	2.056611411E-4	1.941639202E-4	2.155934344E-4	1.917089539E-4	8.054467617E-5	NaN	NaN	1.165806316E-4	2.247969678E-4	1.272627560E-4	NaN	NaN	1.182858468E-4	4.077349149E-4	4.113521136E-4	3.025483747E-4	4.730526125E-4	7.371579413E-4	7.617693045E-4	4.605881986E-4	1.591310320E-5	NaN	NaN	NaN	NaN	NaN	NaN	2.932717143E-5	1.125854178E-4	3.038750729E-4	4.838255991E-4	6.198392366E-4	6.920723827E-4	5.034994101E-4	4.744456965E-5	NaN	NaN	1.475246245E-4	2.477126254E-4	3.920706513E-4	4.087665875E-4	2.419293305E-4	1.675663079E-4	1.588219748E-4	6.513612607E-5	1.171296608E-4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	7.639293472E-5	3.464313340E-4	4.263314186E-4	3.596826282E-4	2.803672396E-4	2.684699721E-4	2.460471005E-4	1.818462915E-4	6.533363921E-5	NaN	NaN	NaN	NaN	NaN	9.963234334E-5	7.188396412E-4	9.176898166E-4	4.371122923E-4	NaN	NaN	NaN	1.869899716E-4	4.406661901E-4	3.461017041E-4	3.706440839E-5	NaN	2.192100364E-4	6.148162647E-4	8.137869881E-4	6.672393647E-4	2.322304936E-4	NaN	NaN	NaN	NaN	3.540500984E-5	1.471887845E-5	4.805776553E-5	4.107569839E-5	NaN	NaN	NaN	NaN	NaN	3.262250975E-4	5.393983447E-4	3.736165527E-4	5.074670116E-5	NaN	NaN	NaN	2.722192148E-4	4.898368497E-4	3.646760888E-4	2.061754058E-4	1.490965515E-4
NaN	5.398022040E-5	NaN	NaN	7.991184248E-5	2.979327983E-4	2.219478192E-4	9.788806346E-5	1.926339464E-4	4.135844356E-4	4.820323375E-4	3.470542142E-4	2.594369289E-4	2.317825274E-4	1.170858886E-4	3.713059414E-5	1.138458174E-4	1.715520921E-4	6.039986692E-5	8.853018517E-5	4.311102384E-4	6.043580943E-4	5.242877523E-4	4.987039138E-4	2.132430382E-4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.173849643E-4	3.471302043E-4	NaN	NaN	1.088248155E-5	2.844317351E-4	9.589432011E-5	NaN	2.974699892E-4	6.271736347E-4	7.193310885E-4	6.293541519E-4	3.308144805E-4	1.275913382E-4	2.649206726E-4	4.267144541E-4	3.684173571E-4	3.987088567E-4	7.309367065E-4	NaN	NaN	9.927714709E-4	7.648712490E-4	8.413854521E-4	8.298956673E-4	5.996473483E-4	4.637409875E-4	4.373625270E-4	3.807941393E-4	3.723854898E-4	4.227908212E-4	3.772470227E-4	2.387131390E-4	1.004072619E-4	NaN	NaN	3.449362703E-5	1.924062235E-4	8.058847015E-5	NaN	NaN	8.438934310E-5	3.813040676E-4	4.227481550E-4	2.792539599E-4	3.184183151E-4	4.461190256E-4	4.521235242E-4	3.294594353E-4	1.182576234E-4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.249163470E-4	3.718869411E-4	4.105997214E-4	4.299256543E-4	4.334573168E-4	2.372551389E-4	2.227490404E-5	1.791234536E-4	4.949145950E-4	5.345335230E-4	3.964775824E-4	2.616623242E-4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.902066990E-5	2.087817847E-4	3.749649622E-4	3.454019316E-4	2.704788349E-4	4.022112698E-4	6.337389350E-4	5.879579694E-4	2.579133143E-4	NaN	NaN	8.503429126E-5	2.644360356E-4	2.526457247E-4	1.534933981E-4	2.877285879E-4	6.912389072E-4	9.004123858E-4	5.662737531E-4	5.735728337E-5	NaN	1.372608949E-5	2.559298009E-4	4.311693192E-4	3.283206315E-4	6.153475988E-5	NaN	2.443072299E-5	3.340283583E-4	4.962988314E-4	3.291549510E-4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.781974242E-5	1.492484880E-4	1.933807216E-4	1.416944287E-4	5.474495629E-5	NaN	4.498584531E-5	4.864381335E-4	6.797419628E-4	3.647801350E-4	3.248879875E-5	NaN	1.896194408E-5	1.528758294E-4	3.932820982E-4	4.323631583E-4	1.653981162E-4	NaN	NaN
NaN	2.992620284E-4	3.376649693E-4	1.947168348E-4	2.573018719E-4	3.822109720E-4	2.927021415E-4	7.949474821E-5	NaN	NaN	NaN	NaN	2.130785142E-4	4.925053800E-4	4.472233413E-4	1.352159888E-4	1.323120523E-5	1.394574356E-4	1.266609033E-4	1.037063048E-4	3.181710781E-4	4.171132459E-4	4.188898893E-4	6.418375997E-4	6.753431517E-4	2.885808062E-4	1.010832639E-4	2.545498428E-4	NaN	NaN	NaN	NaN	NaN	NaN	1.890785934E-4	4.137088254E-4	2.343386877E-4	NaN	NaN	NaN	NaN	NaN	1.538034849E-4	4.714503011E-4	6.589543773E-4	6.789634936E-4	3.849248460E-4	1.566574501E-4	3.356982779E-4	5.216049612E-4	3.692877654E-4	2.273929713E-4	4.356378631E-4	7.788243820E-4	8.473247290E-4	5.853259936E-4	4.152186157E-4	5.247924710E-4	5.727965618E-4	4.687269102E-4	4.610418691E-4	4.940184299E-4	4.502838419E-4	5.185095361E-4	6.795933587E-4	6.262196111E-4	3.881547309E-4	2.236548025E-4	5.896622315E-5	NaN	1.177399026E-4	2.010172611E-4	7.177385123E-5	2.724627848E-5	4.317474668E-5	1.241307036E-4	3.225385735E-4	2.914133656E-4	1.749588773E-5	NaN	1.301239099E-4	2.379707876E-4	2.790775907E-4	2.831549209E-4	2.730329288E-4	2.678375167E-4	1.605707948E-4	NaN	NaN	NaN	NaN	NaN	1.384196075E-4	2.443059639E-4	1.487466361E-4	1.362351322E-4	2.629709488E-4	2.603937464E-4	7.867592649E-5	1.832435082E-4	5.527354660E-4	5.627182545E-4	2.375705226E-4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.558081225E-4	4.283337912E-4	3.752097546E-4	3.441052686E-4	5.213232362E-4	7.714872481E-4	7.690972416E-4	4.805253993E-4	2.115369134E-4	2.442564291E-4	4.521176452E-4	5.755433231E-4	5.545322201E-4	4.065866233E-4	3.039704461E-4	4.444521037E-4	6.089542294E-4	3.769578761E-4	NaN	NaN	5.194688129E-5	1.945307304E-4	2.154646063E-4	2.140597207E-4	1.625330769E-4	NaN	NaN	NaN	1.284924365E-4	1.236139797E-4	NaN	NaN	1.175139550E-4	8.888677985E-5	NaN	NaN	NaN	7.565895066E-5	3.446957853E-4	6.066695205E-4	6.636991748E-4	4.722009471E-4	1.353446278E-4	1.020786876E-4	5.337438779E-4	7.174743223E-4	3.371096682E-4	7.811412070E-5	1.899341441E-4	3.391873033E-4	4.429007240E-4	5.286760279E-4	4.527164856E-4	1.699131099E-4	NaN	NaN
1.978474611E-4	4.733999667E-4	4.900858039E-4	3.855575342E-4	3.488009097E-4	3.218289348E-4	2.509835467E-4	6.422379374E-5	NaN	NaN	NaN	NaN	2.120449935E-4	5.676323199E-4	5.649127415E-4	9.322151163E-5	NaN	1.054960449E-4	2.506438759E-4	1.496875484E-4	1.587768202E-4	1.488953276E-4	2.319445630E-4	6.072001415E-4	7.486933609E-4	3.785447043E-4	1.247768378E-4	2.259436442E-4	2.428290463E-4	1.617353701E-4	9.944862541E-5	4.229023489E-6	NaN	6.418196426E-5	4.286124604E-4	7.735713734E-4	7.228892064E-4	3.572736459E-4	6.284477422E-5	NaN	NaN	NaN	NaN	1.514188334E-4	4.469732521E-4	6.249948055E-4	4.227889003E-4	1.751264645E-4	2.593656536E-4	4.620987165E-4	3.889321524E-4	2.083504660E-4	2.762560907E-4	4.628990428E-4	4.510447907E-4	2.692027483E-4	1.967441931E-4	2.623711189E-4	2.990994253E-4	3.564906365E-4	5.040140240E-4	5.565356114E-4	5.057310336E-4	6.060352898E-4	7.573734620E-4	6.637129700E-4	4.464031372E-4	3.798821417E-4	3.770484182E-4	3.195503959E-4	2.874540805E-4	1.982039248E-4	1.068085548E-4	1.777711004E-4	1.769351657E-4	1.347646030E-4	2.517092507E-4	1.805839856E-4	NaN	NaN	1.908050181E-4	3.206632682E-4	3.503795306E-4	3.944903146E-4	4.957779893E-4	6.116838194E-4	6.177888135E-4	4.323330941E-4	1.533162576E-4	5.090839113E-5	1.366597717E-4	2.398725046E-4	2.914877841E-4	2.223159245E-4	1.290906075E-4	1.627456950E-4	3.125556977E-4	3.270306916E-4	5.387490819E-5	NaN	1.860523189E-4	1.543107355E-4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.482714190E-4	2.815201879E-4	3.007341002E-4	3.640914219E-4	4.533188476E-4	5.581036094E-4	6.590143312E-4	6.386615569E-4	5.025157006E-4	5.156117841E-4	6.009890931E-4	4.797307483E-4	2.370848815E-4	3.144225047E-5	NaN	1.207480454E-4	3.980825422E-4	3.232870367E-4	NaN	NaN	NaN	1.157419683E-5	5.058356692E-5	9.572238923E-5	NaN	NaN	NaN	NaN	6.695236516E-5	2.436343639E-4	2.650969836E-4	2.554829989E-4	2.632114629E-4	3.015526745E-4	2.418985241E-4	6.001594738E-5	2.838052933E-5	2.445158316E-4	5.352412700E-4	7.200785913E-4	7.625819417E-4	6.641282816E-4	3.488849907E-4	1.076395856E-4	2.941871353E-4	4.308686766E-4	2.230332466E-4	1.617180969E-4	2.630078525E-4	3.366601304E-4	4.604653514E-4	5.510757910E-4	5.130174686E-4	3.706958960E-4	2.262365306E-4	1.127885262E-4
2.897353261E-4	3.198184422E-4	3.140745685E-4	3.881299635E-4	4.297675914E-4	3.256272466E-4	2.320338099E-4	9.225872054E-5	NaN	NaN	NaN	3.404395829E-5	1.482735242E-4	3.451183147E-4	3.230019647E-4	NaN	NaN	1.654340304E-4	3.322118137E-4	1.826621883E-4	7.920096687E-5	NaN	5.268590394E-5	3.675390908E-4	4.276925756E-4	1.091742597E-4	NaN	1.244852465E-4	3.828275294E-5	NaN	NaN	5.144197985E-6	5.678547313E-5	1.499549544E-4	4.538416979E-4	8.629255462E-4	8.613560349E-4	4.348018265E-4	1.853614813E-4	2.143367310E-4	2.828596043E-4	3.347847087E-4	2.209960367E-4	1.202844796E-4	3.017776180E-4	4.603525158E-4	3.552375420E-4	1.575960778E-4	1.439544867E-4	3.584437072E-4	4.376620636E-4	3.091882681E-4	2.891409385E-4	3.707573924E-4	3.468832292E-4	2.305140515E-4	1.604460995E-4	1.341508469E-4	1.248900226E-4	2.004306298E-4	3.070361563E-4	3.059712471E-4	2.966383181E-4	4.316183040E-4	5.015610368E-4	3.554985742E-4	2.529374906E-4	3.369318729E-4	4.385120701E-4	4.002739151E-4	2.247377706E-4	1.162545959E-5	4.982170594E-6	2.238197922E-4	2.398187935E-4	1.524051622E-4	2.886883158E-4	2.732938156E-4	6.823158037E-5	1.141190805E-4	3.196949838E-4	4.266300530E-4	4.368220398E-4	4.307919007E-4	5.375045585E-4	7.575424388E-4	8.643080946E-4	6.428220076E-4	2.372232848E-4	1.414355938E-4	3.501500760E-4	4.080803774E-4	3.200176579E-4	3.026073682E-4	3.291903704E-4	3.543209168E-4	4.686426255E-4	4.861386260E-4	1.273159578E-4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.617856262E-5	1.227802859E-4	2.791113220E-4	3.511003451E-4	3.995166335E-4	5.338297342E-4	5.560744321E-4	3.580093617E-4	3.171452554E-4	4.406583030E-4	2.544208546E-4	NaN	NaN	NaN	3.115328582E-5	3.285861167E-4	3.589786647E-4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.370237246E-4	2.602816385E-4	2.510143677E-4	2.864181879E-4	3.491969255E-4	2.972667571E-4	6.283381663E-5	3.071752872E-5	2.517790999E-4	4.154936178E-4	4.585426068E-4	4.690900387E-4	4.884121008E-4	3.686997807E-4	1.148527881E-4	5.113708903E-5	4.645745867E-5	NaN	NaN	2.061674604E-5	1.091123122E-4	3.732865152E-4	5.752837751E-4	6.197104231E-4	6.219019997E-4	5.525840679E-4	3.681700910E-4
3.544760402E-4	2.307234536E-4	2.162620658E-4	4.138911900E-4	5.088828621E-4	3.332252090E-4	1.625518198E-4	7.604196435E-5	NaN	NaN	5.936868547E-5	1.380596368E-4	1.591228647E-4	2.202286269E-4	1.645240700E-4	NaN	1.148642987E-4	4.682540311E-4	4.894779413E-4	3.355064837E-4	2.794594911E-4	1.275162067E-4	3.692011524E-5	1.643718424E-4	2.202345349E-4	1.447334798E-4	1.811046386E-4	2.307786199E-4	2.754895831E-6	NaN	NaN	6.292977196E-5	4.580802124E-5	1.597145092E-5	1.724580216E-4	5.055588554E-4	5.238212761E-4	1.852733694E-4	1.760322339E-4	5.161183071E-4	7.520775544E-4	8.329369593E-4	6.729231100E-4	4.000650661E-4	3.211518924E-4	3.417361877E-4	3.392784274E-4	2.379545185E-4	1.098608482E-4	2.266977972E-4	3.957030713E-4	3.597227042E-4	3.006990883E-4	2.654233249E-4	1.657505200E-4	4.893530786E-5	NaN	NaN	NaN	NaN	NaN	NaN	4.841596092E-5	2.021357213E-4	1.846553932E-4	NaN	NaN	2.408452201E-5	1.272982918E-4	7.478486077E-5	NaN	NaN	NaN	1.993594342E-4	2.753077715E-4	1.600030082E-4	3.320318647E-4	4.540498776E-4	2.722679928E-4	1.907428959E-4	3.361803829E-4	4.882499052E-4	5.145859323E-4	4.263092997E-4	4.145313578E-4	6.271312013E-4	7.932437002E-4	5.655136192E-4	1.565038401E-4	7.375464338E-5	2.143896854E-4	1.778046862E-4	1.587530132E-4	3.405131865E-4	4.121457750E-4	3.133389691E-4	3.812590148E-4	4.822143237E-4	1.704760070E-4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.404306542E-5	2.038375096E-4	3.449689539E-4	4.563841503E-4	4.913794692E-4	2.563274174E-4	NaN	NaN	2.153168316E-4	3.136294836E-4	5.444291219E-6	NaN	NaN	1.771465468E-4	3.057289869E-4	3.177391482E-4	1.480009450E-5	NaN	NaN	1.452049182E-4	3.413976228E-4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4.142067337E-5	7.021026977E-5	3.061016323E-4	3.982406342E-4	2.541267895E-4	2.918207247E-5	3.067526268E-5	9.075766138E-5	1.083230745E-5	2.549800956E-5	1.000821940E-4	1.353050902E-4	2.078657562E-4	1.867586689E-4	6.626439426E-5	NaN	NaN	NaN	NaN	NaN	3.103360650E-4	5.122291623E-4	5.387474084E-4	6.126836524E-4	6.595247542E-4	4.753131070E-4
4.463046498E-4	3.798505932E-4	4.509546852E-4	6.724802079E-4	6.482085446E-4	3.071996907E-4	NaN	NaN	NaN	8.631379751E-5	1.801088365E-4	2.015053324E-4	1.550791931E-4	1.302481978E-4	7.249919145E-5	2.070238952E-5	2.820792724E-4	6.225647521E-4	5.967615871E-4	5.132398801E-4	5.769740092E-4	4.456496390E-4	2.101406717E-4	1.846563100E-4	2.930521732E-4	4.024069640E-4	4.411372938E-4	3.202238586E-4	9.365779260E-5	5.056888040E-5	2.382208186E-4	3.029718064E-4	1.655915403E-4	4.895415623E-5	8.403351967E-5	2.675187716E-4	2.903477580E-4	7.267202454E-5	1.428565738E-4	4.925478715E-4	7.040494238E-4	8.063546848E-4	7.461768109E-4	5.244070780E-4	3.865983163E-4	3.811134084E-4	4.759342701E-4	4.651350609E-4	2.105642343E-4	7.717445260E-5	1.735387632E-4	2.110638889E-4	1.859284675E-4	9.638808842E-5	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.375422191E-4	2.550184436E-4	NaN	NaN	NaN	6.478876458E-5	1.515363419E-5	NaN	NaN	1.089987290E-5	2.730059787E-4	2.630738891E-4	3.495556666E-5	1.785145723E-4	4.535423941E-4	3.494178818E-4	1.806116488E-4	2.832318423E-4	4.168438900E-4	4.264196905E-4	3.516492143E-4	2.877729421E-4	4.774025001E-4	7.252652431E-4	5.796822370E-4	2.269328834E-4	6.738529191E-5	2.180305273E-5	NaN	2.453952220E-5	1.942550007E-4	1.588603918E-4	1.417775002E-5	1.043033481E-4	2.837383945E-4	1.042472795E-4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.841810638E-4	4.463309015E-4	3.910238156E-4	3.284320992E-4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5.024987695E-5	1.183689747E-4	2.120593708E-4	3.110605758E-4	2.359748323E-4	NaN	NaN	NaN	1.201737832E-4	5.123169976E-4	4.607653827E-4	3.167853865E-4	3.098392335E-4	3.269814479E-4	2.684938081E-4	2.018035011E-4	1.117902066E-4	4.787519356E-5	2.537481487E-4	5.073468783E-4	5.499492981E-4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.123144077E-5	1.776151039E-4	3.732057230E-4	2.927221940E-4	7.665333396E-5	NaN	NaN	NaN	NaN	2.441751421E-4	3.944696509E-4	3.650656727E-4	3.971419355E-4	4.744527105E-4	3.333565255E-4
3.188332776E-4	3.348044702E-4	5.503276479E-4	8.146266919E-4	7.193988422E-4	3.277550859E-4	NaN	NaN	NaN	1.889010855E-5	1.757133723E-4	1.689119526E-4	9.228758245E-6	NaN	NaN	NaN	8.908959717E-5	3.394069499E-4	3.938442096E-4	4.223092401E-4	5.406228593E-4	4.927953705E-4	3.228180867E-4	3.277422220E-4	4.619334068E-4	5.131749786E-4	3.984359500E-4	2.151919325E-4	1.628110913E-4	3.009959182E-4	5.010993918E-4	5.388344289E-4	3.894139372E-4	2.371769078E-4	1.761760650E-4	2.543585142E-4	2.939310798E-4	1.266142208E-4	9.618974582E-5	2.668355010E-4	3.511412360E-4	3.664347751E-4	3.208619310E-4	2.568204072E-4	2.860503446E-4	3.241832601E-4	3.831453505E-4	4.497626505E-4	2.786755213E-4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.013927005E-4	4.994621850E-4	3.849405039E-4	7.785118214E-5	1.471478172E-4	3.563310020E-4	4.021742207E-4	4.428096872E-4	4.535427142E-4	4.954516771E-4	5.785078974E-4	3.303382546E-4	NaN	NaN	1.834456780E-4	1.998131484E-4	9.356797818E-5	1.680626156E-4	2.222742187E-4	2.475251094E-4	3.090860846E-4	2.777388727E-4	4.255590611E-4	7.355622947E-4	7.304401952E-4	4.966072156E-4	3.032368259E-4	1.569482265E-4	1.050742212E-4	1.337531430E-4	6.610411947E-5	NaN	NaN	NaN	3.930874664E-5	NaN	NaN	1.983746188E-5	NaN	7.876974996E-5	3.536869190E-4	NaN	NaN	NaN	NaN	NaN	2.554364619E-4	6.410672795E-4	7.082109223E-4	4.869661643E-4	4.475894675E-4	4.341040330E-4	1.925658289E-4	4.607630399E-5	NaN	NaN	NaN	NaN	NaN	1.051668005E-4	3.537425800E-5	NaN	3.763736822E-5	5.736177627E-5	NaN	NaN	NaN	1.084860705E-4	5.033366615E-4	5.886456347E-4	4.467551771E-4	3.914509725E-4	4.009158001E-4	2.533348161E-4	6.716958160E-5	6.345433212E-5	2.516006061E-4	5.463912385E-4	6.383272121E-4	5.365294637E-4	3.898028808E-4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8.561492723E-5	1.794046402E-4	3.022279998E-4	5.253878189E-4	4.744431353E-4	2.620729501E-4	1.120005181E-4	NaN	NaN	NaN	9.456421685E-5	3.184890084E-4	3.873838868E-4	3.945317294E-4	3.496934369E-4	1.587895094E-4
2.421255049E-4	1.544273109E-4	3.210239520E-4	4.923373344E-4	4.405036743E-4	3.454938997E-4	2.326315298E-4	NaN	NaN	5.119183243E-6	1.518874924E-4	1.631419436E-4	9.703418073E-6	NaN	NaN	NaN	NaN	NaN	5.349710045E-5	1.667215693E-4	2.580696600E-4	3.065621131E-4	3.261234669E-4	4.149672459E-4	4.897188628E-4	3.711115569E-4	1.412315614E-4	4.486316902E-5	1.844931394E-4	3.806255991E-4	4.600115935E-4	4.243444710E-4	3.425097675E-4	2.414064656E-4	1.385879877E-4	1.714586106E-4	2.597126877E-4	1.765803900E-4	1.073429667E-4	1.609278697E-4	1.263786253E-4	NaN	NaN	NaN	1.551344321E-4	2.438029624E-4	1.095942498E-4	1.084094765E-4	1.252277143E-4	NaN	NaN	NaN	NaN	3.816300705E-6	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4.415924486E-4	6.732693873E-4	3.537402081E-4	2.090365451E-4	3.742286644E-4	5.739257904E-4	7.568776491E-4	7.789073279E-4	7.986825076E-4	8.387051639E-4	5.167932250E-4	2.990369467E-5	NaN	1.178827188E-5	1.732079836E-4	2.306438691E-4	2.953699150E-4	2.796624904E-4	2.759693016E-4	3.384868323E-4	2.522444411E-4	2.880233806E-4	5.736044259E-4	7.295259275E-4	7.345121121E-4	6.498181610E-4	4.866345844E-4	4.245685122E-4	3.934257256E-4	1.798486919E-4	NaN	NaN	8.990611968E-5	7.097151683E-5	NaN	9.593844152E-5	2.799577778E-4	1.902253716E-4	1.319546864E-4	3.860331490E-4	5.334682064E-4	3.485070483E-4	1.106620766E-4	1.691398938E-5	1.001074561E-4	3.774823854E-4	7.120283553E-4	8.027778240E-4	6.490712403E-4	6.287093856E-4	6.825011806E-4	5.686440854E-4	4.559703812E-4	3.593227884E-4	1.617477246E-4	NaN	NaN	5.415439591E-5	1.856205345E-4	9.438452980E-5	NaN	NaN	2.133648959E-4	3.627496480E-4	2.771661966E-4	8.718849131E-5	1.284290629E-4	3.245219996E-4	3.130934492E-4	1.275259565E-4	1.636022498E-4	3.701254318E-4	3.081493487E-4	4.459961201E-5	NaN	1.385517389E-4	4.028886615E-4	4.666535242E-4	3.853785747E-4	2.785781107E-4	NaN	NaN	NaN	NaN	8.263659402E-5	3.726023715E-4	4.838039749E-4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8.229894593E-5	2.502286516E-4	2.974391100E-4	4.344118061E-4	3.909194493E-4	1.748164505E-4	2.954330921E-5	NaN	NaN	NaN	NaN	1.395785512E-4	4.138374934E-4	5.547536421E-4	4.919975181E-4	2.951399656E-4
4.612905614E-4	3.308505402E-4	3.250724112E-4	1.428581309E-4	NaN	1.590208121E-4	6.023073220E-4	6.480815355E-4	4.194830253E-4	3.189067647E-4	2.740148338E-4	2.379664365E-4	2.430036984E-4	2.350907307E-4	1.675618696E-4	NaN	NaN	NaN	NaN	9.434659296E-5	1.310862426E-4	2.505720186E-4	3.775021760E-4	4.191829066E-4	3.656231856E-4	1.715231774E-4	NaN	1.314618567E-5	1.599925599E-4	2.436246432E-4	2.123223821E-4	1.708037453E-4	1.912083972E-4	1.807958615E-4	9.631447756E-5	1.014420413E-4	2.143220772E-4	2.670386457E-4	2.948784677E-4	3.421091533E-4	2.334218007E-4	NaN	NaN	NaN	2.461385156E-4	3.793443902E-4	9.687517013E-5	NaN	7.934770110E-6	NaN	NaN	NaN	1.999982487E-4	3.274569754E-4	3.001666046E-4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.544829913E-4	6.005395553E-4	3.490077797E-4	8.925943257E-5	1.060910145E-4	2.890288306E-4	5.083738361E-4	5.058259121E-4	5.027250154E-4	6.255418411E-4	5.133459927E-4	2.157771523E-4	2.615124458E-6	7.041534991E-5	3.309008316E-4	4.502013617E-4	4.233911168E-4	3.235655604E-4	2.124664461E-4	1.247163018E-4	NaN	NaN	2.366116678E-4	5.085474695E-4	7.342261961E-4	7.962581003E-4	6.640399224E-4	5.907793529E-4	6.025965558E-4	4.653734795E-4	2.716304152E-4	4.046208633E-4	6.930989330E-4	5.899933167E-4	2.532733779E-4	2.604726469E-4	4.806766810E-4	3.956774017E-4	1.846161322E-4	2.471077314E-4	3.315380600E-4	2.021412074E-4	1.536406635E-4	2.214193810E-4	2.066950838E-4	2.507689060E-4	4.554484331E-4	6.445842446E-4	7.021226920E-4	6.897142739E-4	6.427652552E-4	5.962817813E-4	5.872136680E-4	5.087769241E-4	3.516682482E-4	1.431267156E-4	NaN	NaN	1.516903721E-4	1.216900273E-4	NaN	4.516420631E-6	2.994690731E-4	5.547059118E-4	4.961516825E-4	2.902004344E-4	2.484481374E-4	2.623998153E-4	1.384010684E-4	NaN	4.746658306E-5	3.034409310E-4	3.078110167E-4	7.794012345E-5	NaN	NaN	6.804265286E-5	2.291001147E-4	3.036148846E-4	2.588424832E-4	8.838293434E-5	NaN	3.470809588E-6	1.685954339E-5	3.156154708E-5	2.111119684E-4	3.614706802E-4	1.373487030E-4	NaN	NaN	NaN	NaN	NaN	8.665988571E-5	NaN	NaN	8.166664884E-6	9.680624498E-5	6.867818593E-5	2.073500655E-4	2.857641375E-4	1.039767812E-4	NaN	3.126530646E-5	1.003227590E-4	NaN	NaN	NaN	2.988700289E-4	4.973695613E-4	5.144032766E-4	4.514423199E-4
