NaN	NaN	NaN	NaN	NaN	NaN	1.277750358E-3	1.421627472E-3	1.470066723E-3	1.486759516E-3	1.458668965E-3	1.319371979E-3	1.134977443E-3	1.119138440E-3	1.312360866E-3	1.517590485E-3	1.401829300E-3	1.014726469E-3	8.456395008E-4	9.967115475E-4	1.201980165E-3	1.325343619E-3	1.310763881E-3	1.220457489E-3	1.248895191E-3	1.300809905E-3	1.223594765E-3	1.145767164E-3	1.060193521E-3	1.056857291E-3	NaN	NaN	NaN	NaN	NaN	1.448838855E-3	1.110770158E-3	7.209793548E-4	4.023007350E-4	3.089727252E-4	5.112255458E-4	7.786636706E-4	8.836766938E-4	8.839482907E-4	9.119786555E-4	9.795264341E-4	1.100622932E-3	1.238032011E-3	1.250931877E-3	1.161315595E-3	1.037035603E-3	9.657465271E-4	1.035796944E-3
NaN	NaN	NaN	NaN	NaN	1.243046368E-3	1.268772059E-3	1.270349021E-3	1.408886514E-3	1.501206774E-3	1.413750695E-3	1.255732030E-3	1.226298278E-3	1.468466711E-3	1.776830293E-3	1.838497701E-3	1.565821003E-3	1.156856073E-3	9.950753301E-4	1.130386721E-3	1.316736918E-3	1.448159222E-3	1.402030350E-3	1.171585638E-3	1.141036977E-3	1.316921902E-3	1.271446701E-3	1.061569201E-3	9.303241386E-4	9.515630081E-4	NaN	NaN	NaN	NaN	NaN	1.424282673E-3	1.055155997E-3	7.987729041E-4	5.988404155E-4	5.598026910E-4	7.025073282E-4	8.279870381E-4	8.812082815E-4	9.035670664E-4	9.261967498E-4	9.771061596E-4	1.151471282E-3	1.375209191E-3	1.380030066E-3	1.280402183E-3	1.219171798E-3	1.117651002E-3	1.124882372E-3
1.399420318E-3	NaN	1.480425475E-3	1.359692425E-3	1.342407893E-3	1.402340014E-3	1.322984928E-3	1.259497250E-3	1.358898939E-3	1.439105370E-3	1.294173650E-3	1.045614714E-3	1.081384835E-3	1.527239801E-3	1.899608877E-3	1.830484834E-3	1.508100657E-3	1.199588762E-3	1.098860404E-3	1.196716097E-3	1.333671156E-3	1.430628588E-3	1.290810644E-3	9.626345709E-4	9.670432773E-4	1.279570744E-3	1.352516585E-3	1.166021917E-3	9.755821666E-4	9.242539527E-4	1.134335762E-3	NaN	NaN	NaN	NaN	1.348637510E-3	1.026837970E-3	9.622662910E-4	8.843364194E-4	8.213453693E-4	8.283682982E-4	8.214695845E-4	8.947831811E-4	9.942919714E-4	1.028147177E-3	1.064538024E-3	1.197580947E-3	1.322866301E-3	1.267333049E-3	1.262581674E-3	1.359193469E-3	1.268794527E-3	1.196868252E-3
1.223751926E-3	1.312852837E-3	1.350296545E-3	1.301219454E-3	1.340743620E-3	1.352720079E-3	1.335453824E-3	1.381351613E-3	1.403903356E-3	1.375477761E-3	1.175549929E-3	8.368722047E-4	8.144841995E-4	1.241199789E-3	1.556929783E-3	1.471830066E-3	1.250409754E-3	1.078033471E-3	1.049592393E-3	1.109656412E-3	1.171777956E-3	1.273462316E-3	1.177005819E-3	8.725945954E-4	8.562294533E-4	1.138011576E-3	1.308628009E-3	1.255667419E-3	1.059732516E-3	9.734082269E-4	1.203185762E-3	NaN	NaN	NaN	1.526477747E-3	1.390976016E-3	1.140987268E-3	1.087585930E-3	1.000991091E-3	9.333124617E-4	9.397672256E-4	9.347725427E-4	1.022441080E-3	1.128352364E-3	1.216005418E-3	1.358582405E-3	1.441559871E-3	1.334776985E-3	1.144792885E-3	1.181302709E-3	1.370556536E-3	1.341001480E-3	1.248108572E-3
9.006024338E-4	1.056815265E-3	1.181716914E-3	1.245307620E-3	1.281687873E-3	1.140440465E-3	1.052776002E-3	1.137887943E-3	1.171393902E-3	1.156298793E-3	9.884982137E-4	6.337558734E-4	5.640469026E-4	9.289152804E-4	1.196990954E-3	1.154054073E-3	1.008047955E-3	8.756771567E-4	9.054673137E-4	1.003032899E-3	1.047872589E-3	1.196207013E-3	1.208567061E-3	9.156896267E-4	7.366196369E-4	8.511233027E-4	1.075988286E-3	1.201578067E-3	1.110401005E-3	1.038250164E-3	1.240182784E-3	1.402476919E-3	1.209123759E-3	1.102831680E-3	1.359563554E-3	1.510360744E-3	1.419581356E-3	1.268483233E-3	1.027793624E-3	8.971709758E-4	9.592794813E-4	1.056090696E-3	1.183519838E-3	1.281739678E-3	1.436691149E-3	1.733378973E-3	1.841373392E-3	NaN	1.214575605E-3	1.115705585E-3	1.179579296E-3	1.170611475E-3	1.109591802E-3
8.442109101E-4	8.660387248E-4	9.379078983E-4	1.087938785E-3	1.158278203E-3	9.139460162E-4	6.509418599E-4	6.278473884E-4	7.282122388E-4	8.689772221E-4	8.647656068E-4	6.383627187E-4	5.578650162E-4	7.983295363E-4	9.976674337E-4	9.738683584E-4	8.334991871E-4	6.911990931E-4	7.753704558E-4	9.696175694E-4	1.057070564E-3	1.212903066E-3	1.244986779E-3	8.942124550E-4	5.453924532E-4	5.573654780E-4	8.502916317E-4	1.120843343E-3	1.198012498E-3	1.205979032E-3	1.312513952E-3	1.423978712E-3	1.257552067E-3	1.016729395E-3	1.185281086E-3	1.547029475E-3	1.637632959E-3	1.396557083E-3	9.662955417E-4	6.985762157E-4	7.544267573E-4	9.561182233E-4	1.189164934E-3	1.362494659E-3	1.555801951E-3	1.881735632E-3	NaN	NaN	1.327310340E-3	1.145123155E-3	1.046182471E-3	1.004473073E-3	9.547853260E-4
1.031192834E-3	8.442887920E-4	8.364038658E-4	1.026150887E-3	1.054110005E-3	7.312124944E-4	4.132642352E-4	4.133420007E-4	6.617491599E-4	9.354522335E-4	1.058573835E-3	1.013915753E-3	8.988556219E-4	8.432380855E-4	8.754652226E-4	8.956132806E-4	8.045595605E-4	6.666053669E-4	7.615597569E-4	1.033310080E-3	1.178130158E-3	1.263709739E-3	1.226693857E-3	8.711188566E-4	5.057707313E-4	5.425752024E-4	8.805719553E-4	1.125114039E-3	1.231611939E-3	1.335357083E-3	1.404739683E-3	1.431229641E-3	1.279898570E-3	9.905073093E-4	1.073734369E-3	1.517727040E-3	1.678652596E-3	1.311432221E-3	7.264065207E-4	4.241172865E-4	5.557713448E-4	8.328511612E-4	1.107406220E-3	1.357421628E-3	1.568218577E-3	1.795224380E-3	NaN	NaN	NaN	1.204701955E-3	1.104453579E-3	1.101098955E-3	1.049054554E-3
1.149706892E-3	9.239747887E-4	9.470169316E-4	1.149868360E-3	1.088734833E-3	6.876470870E-4	4.049563722E-4	5.481411936E-4	9.494710830E-4	1.264219522E-3	1.389967510E-3	1.438455307E-3	1.283490914E-3	9.351234767E-4	8.008806035E-4	9.227804840E-4	9.732276667E-4	8.841753588E-4	9.302959661E-4	1.197440783E-3	1.388143515E-3	1.384457108E-3	1.266489853E-3	1.017920091E-3	7.599151577E-4	8.062838460E-4	1.104656607E-3	1.260622754E-3	1.301336451E-3	1.382167451E-3	1.387620694E-3	1.348780119E-3	1.229512156E-3	9.838036494E-4	1.045626937E-3	1.493229880E-3	1.653606887E-3	1.178388949E-3	4.928932758E-4	2.631205134E-4	5.579060526E-4	8.517219103E-4	1.011215965E-3	1.232907642E-3	1.465152949E-3	1.597508555E-3	NaN	NaN	NaN	1.147226430E-3	1.042205025E-3	1.108271419E-3	1.091606682E-3
1.165297115E-3	9.931045352E-4	1.042918651E-3	1.225893153E-3	1.233230229E-3	9.343770216E-4	7.000457263E-4	8.545218734E-4	1.194303506E-3	1.443121466E-3	1.588813495E-3	1.713415026E-3	1.557182870E-3	1.059804461E-3	8.234190755E-4	9.948564693E-4	1.123336493E-3	1.074352418E-3	1.069905236E-3	1.234906609E-3	1.387049793E-3	1.358610578E-3	1.295696013E-3	1.268873224E-3	1.137016341E-3	1.084776246E-3	1.263464685E-3	1.428205520E-3	1.520990278E-3	1.519522280E-3	1.356818480E-3	1.221702434E-3	1.098489971E-3	8.897879161E-4	9.686041158E-4	1.426202129E-3	1.643858268E-3	1.211644267E-3	5.077070091E-4	2.656119177E-4	5.733559374E-4	8.329945849E-4	8.939657127E-4	1.053314190E-3	1.298694988E-3	1.402670750E-3	NaN	NaN	1.386650023E-3	1.121395966E-3	8.987247129E-4	9.281766252E-4	9.522716282E-4
1.136242296E-3	9.957639268E-4	1.027722028E-3	1.144488924E-3	1.273616799E-3	1.160833635E-3	9.592839051E-4	1.036233152E-3	1.214696444E-3	1.370477490E-3	1.612553373E-3	1.864983700E-3	1.748608542E-3	1.235404518E-3	9.993121494E-4	1.186313340E-3	1.267781481E-3	1.166134025E-3	1.117493375E-3	1.124177244E-3	1.117976499E-3	1.105250209E-3	1.216851873E-3	1.420766930E-3	1.388867153E-3	1.246071770E-3	1.290552435E-3	1.441570814E-3	1.612361288E-3	1.595756970E-3	1.330399420E-3	1.096707070E-3	8.959912811E-4	6.878863787E-4	8.201473393E-4	1.318579540E-3	1.617316739E-3	1.335263951E-3	7.495128666E-4	4.498608178E-4	5.739284097E-4	7.329126238E-4	7.803233457E-4	9.126195800E-4	1.172755030E-3	1.351696556E-3	1.353278407E-3	NaN	1.480601029E-3	1.226574648E-3	9.397021495E-4	8.564143791E-4	8.744732477E-4
