1.173404162E-3	9.074542322E-4	7.512042648E-4	8.915148210E-4	9.917782154E-4	9.665865218E-4	1.053352375E-3	1.120408298E-3	1.094560488E-3	NaN	NaN	1.672764658E-3	1.261947327E-3	9.985689539E-4	7.964668330E-4	6.438086275E-4	5.848613800E-4	7.019815966E-4	1.071736217E-3	1.414306113E-3	1.289618784E-3	9.368719766E-4	8.549009799E-4	9.499370935E-4	1.129437820E-3	1.395801199E-3	1.485591987E-3	1.307387603E-3	1.195114804E-3	1.309952815E-3	1.275979215E-3	1.025973819E-3	8.820085786E-4	7.357264403E-4	5.620609736E-4	6.563893985E-4
1.327096485E-3	9.840284474E-4	7.946208352E-4	8.692367119E-4	9.653529269E-4	1.002457691E-3	1.115348074E-3	1.135672675E-3	1.012784895E-3	NaN	NaN	1.784537686E-3	1.350225764E-3	9.865331231E-4	8.296195883E-4	7.946533733E-4	7.253977819E-4	7.439967594E-4	1.113842125E-3	1.552857109E-3	1.458965708E-3	1.023825374E-3	8.366210386E-4	8.379125502E-4	9.261622909E-4	1.152347540E-3	1.340979594E-3	1.352447551E-3	1.269465429E-3	1.261113444E-3	1.261042780E-3	1.204611501E-3	1.150030177E-3	9.501727181E-4	6.867476623E-4	7.162011461E-4
1.477284590E-3	1.251350041E-3	1.106571872E-3	1.059547300E-3	1.021918375E-3	1.044653123E-3	1.258385484E-3	1.376941334E-3	1.174504287E-3	NaN	NaN	1.683138544E-3	1.379003283E-3	9.923659964E-4	8.590501966E-4	9.418508853E-4	9.484858019E-4	9.500149172E-4	1.224902458E-3	1.606935053E-3	1.566909952E-3	1.133409212E-3	8.576971013E-4	8.071004413E-4	8.419057122E-4	9.775757790E-4	1.203668420E-3	1.447437680E-3	1.488209586E-3	1.304621808E-3	1.145916409E-3	1.204255503E-3	1.333293389E-3	1.210781629E-3	9.679319337E-4	9.561506449E-4
1.305194572E-3	1.356587629E-3	1.396346139E-3	1.267692074E-3	1.053681830E-3	1.041871030E-3	1.349597354E-3	1.553183538E-3	NaN	NaN	NaN	1.463624998E-3	1.275902265E-3	9.857109981E-4	9.379912517E-4	1.108347671E-3	1.175981713E-3	1.185881905E-3	1.348265447E-3	1.617883099E-3	1.631200663E-3	1.209170441E-3	8.044213755E-4	6.968931993E-4	7.455538143E-4	8.414139738E-4	1.035663299E-3	1.380490954E-3	1.558311516E-3	1.359340618E-3	1.123724040E-3	1.207827940E-3	1.373864361E-3	1.276764320E-3	1.139134867E-3	1.150907017E-3
1.016596681E-3	1.292701694E-3	1.503373031E-3	1.357598929E-3	1.068538404E-3	1.032409258E-3	1.269176253E-3	1.417932450E-3	NaN	NaN	NaN	1.403805800E-3	1.211173134E-3	9.297807119E-4	9.167114040E-4	1.154910075E-3	1.313563786E-3	1.394494204E-3	1.490379102E-3	1.648759120E-3	1.714398153E-3	1.328613493E-3	7.921888027E-4	5.999437999E-4	7.102440577E-4	8.880416863E-4	1.043493045E-3	1.263978076E-3	1.409180579E-3	1.313569839E-3	1.200664672E-3	1.320924144E-3	1.427570358E-3	1.294111949E-3	1.202518353E-3	1.165651251E-3
8.835231420E-4	1.260577468E-3	1.558446209E-3	1.472297357E-3	1.217713463E-3	1.130310120E-3	1.184218796E-3	1.244409359E-3	NaN	NaN	NaN	1.412554411E-3	1.276674448E-3	9.619803750E-4	8.619759465E-4	1.065380173E-3	1.297235722E-3	1.473320648E-3	1.528320485E-3	1.584551879E-3	1.705406699E-3	1.450746437E-3	9.435275570E-4	7.069205167E-4	7.910179556E-4	1.027428894E-3	1.225042040E-3	1.325441408E-3	1.326307422E-3	1.260498073E-3	1.262899139E-3	1.441781875E-3	1.586615457E-3	1.480238629E-3	1.337247319E-3	1.164966496E-3
8.406181005E-4	1.200117404E-3	1.506549073E-3	1.503029256E-3	1.306292368E-3	1.238986501E-3	1.283467282E-3	NaN	NaN	NaN	NaN	NaN	1.357779722E-3	1.141077140E-3	9.972573025E-4	1.082069008E-3	1.258121338E-3	1.398126478E-3	1.351111219E-3	1.321081771E-3	1.496749348E-3	1.426375122E-3	1.100212103E-3	9.004734457E-4	8.648946532E-4	1.019138610E-3	1.265546773E-3	1.383641618E-3	1.329861814E-3	1.256451244E-3	1.279647578E-3	NaN	NaN	NaN	NaN	1.213004580E-3
8.422654355E-4	1.059921458E-3	1.254354836E-3	1.255072886E-3	1.082148170E-3	1.151413890E-3	1.404572628E-3	1.549454406E-3	NaN	NaN	NaN	NaN	NaN	1.275429502E-3	1.165046822E-3	1.142845955E-3	1.241778256E-3	1.343944459E-3	NaN	1.081512892E-3	1.222811057E-3	1.280946075E-3	1.147881383E-3	1.036726520E-3	9.322870173E-4	9.375749505E-4	1.099152840E-3	1.232614508E-3	1.234239782E-3	1.199484221E-3	1.223354018E-3	NaN	NaN	NaN	NaN	1.308272826E-3
1.008719788E-3	1.095984713E-3	1.129475306E-3	1.067385310E-3	8.845326956E-4	1.027763356E-3	1.404656214E-3	1.579809585E-3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.167425420E-3	1.177248429E-3	1.157160266E-3	1.077427529E-3	9.515620186E-4	9.054050897E-4	9.773985948E-4	1.092042308E-3	1.165207475E-3	1.211565337E-3	NaN	NaN	NaN	NaN	NaN
1.191512914E-3	1.236694865E-3	1.162452274E-3	1.060703536E-3	9.053680697E-4	1.009311411E-3	1.299128868E-3	1.399928587E-3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.374756452E-3	1.345898258E-3	1.270238892E-3	1.024305588E-3	7.516355836E-4	7.132247556E-4	9.390951018E-4	1.197313191E-3	1.333252643E-3	NaN	NaN	NaN	NaN	1.342641306E-3
