1.715892722E-4	4.125400446E-4	5.749838310E-4	7.192650810E-4	6.889660144E-4	4.841335467E-4	2.440071112E-4	1.400214678E-4	2.539056586E-4	3.835833631E-4	4.021055356E-4	5.080127157E-4	8.056805236E-4	1.069862745E-3	1.175061683E-3	1.297718380E-3	1.376167522E-3	1.190201263E-3	9.350453038E-4	8.410044247E-4	7.641689735E-4	6.379604456E-4	5.885370774E-4	6.359777763E-4	6.424785824E-4	4.940659855E-4	2.947016619E-4	1.983312104E-4	2.818383800E-4	4.662985448E-4
2.121735452E-4	4.410495167E-4	5.795268808E-4	6.679013604E-4	6.020818255E-4	3.470217634E-4	8.597940905E-5	NaN	6.400098209E-5	1.820260368E-4	2.261062618E-4	3.952935804E-4	8.285263320E-4	1.157932449E-3	1.175712561E-3	1.221965766E-3	1.281923614E-3	1.122517744E-3	9.809664916E-4	9.226973634E-4	7.440036861E-4	6.276451750E-4	7.265328895E-4	8.156845579E-4	7.077112678E-4	4.814283166E-4	3.418538836E-4	2.889370662E-4	2.713148715E-4	3.564069630E-4
3.115392174E-4	5.016966606E-4	6.333825877E-4	7.106572739E-4	6.600672496E-4	4.146200954E-4	1.005684317E-4	NaN	NaN	6.412246148E-5	2.370700968E-4	4.523319949E-4	8.736992022E-4	1.163672307E-3	1.095646410E-3	1.069774735E-3	1.145132584E-3	1.042326912E-3	9.559738683E-4	9.527288494E-4	8.036055951E-4	7.086429396E-4	8.095137309E-4	8.471944602E-4	7.048452389E-4	5.141485599E-4	4.549890291E-4	4.729247012E-4	4.284991301E-4	3.680688969E-4
5.242518382E-4	6.674086326E-4	7.790926611E-4	8.757812902E-4	8.781829965E-4	6.793850916E-4	2.860160894E-4	NaN	NaN	NaN	2.457186638E-4	4.967961577E-4	8.061315166E-4	1.053247601E-3	1.055714325E-3	1.057800488E-3	1.100238645E-3	9.416118264E-4	8.183647296E-4	9.211174329E-4	9.312403272E-4	8.081000415E-4	7.378642331E-4	6.855778629E-4	5.967901088E-4	4.939776263E-4	4.909259733E-4	5.992206279E-4	6.626550457E-4	5.612577079E-4
8.079686668E-4	9.580143960E-4	9.920699522E-4	9.604790830E-4	9.125281940E-4	8.169817156E-4	5.145379109E-4	NaN	NaN	NaN	NaN	3.373784421E-4	5.522324354E-4	7.746774936E-4	9.444179013E-4	1.033435692E-3	9.777036030E-4	7.489313721E-4	6.960256724E-4	9.639488999E-4	1.098840032E-3	9.036306292E-4	6.620404893E-4	5.275090807E-4	4.396548320E-4	3.686444252E-4	4.036306927E-4	5.772567820E-4	7.540617371E-4	7.367539802E-4
1.007428044E-3	1.156262588E-3	1.108476776E-3	8.614697726E-4	7.047206163E-4	7.608827436E-4	6.740280660E-4	2.586318587E-4	NaN	NaN	NaN	NaN	1.437780447E-4	2.777420450E-4	5.814810866E-4	7.531932788E-4	6.317201769E-4	4.687076434E-4	6.391142379E-4	1.019906718E-3	1.152979559E-3	9.469101205E-4	6.654811441E-4	4.498157941E-4	2.862158290E-4	2.130729408E-4	2.722979116E-4	4.326773924E-4	6.092823460E-4	6.677255733E-4
1.048575854E-3	1.110828714E-3	1.053607441E-3	7.307771593E-4	5.376912304E-4	6.745987921E-4	6.951352698E-4	3.907996579E-4	9.640708595E-5	NaN	NaN	NaN	NaN	NaN	1.423427602E-4	3.813555522E-4	3.035278933E-4	2.897975792E-4	6.217548507E-4	9.404997691E-4	9.711380699E-4	8.425883716E-4	6.433036760E-4	3.989043471E-4	2.353089367E-4	2.362406231E-4	2.863404516E-4	3.290268942E-4	4.338696890E-4	5.219291779E-4
8.336226456E-4	7.774577825E-4	7.852754206E-4	6.027381169E-4	5.024893908E-4	6.458272692E-4	6.767616724E-4	4.528520221E-4	2.547042386E-4	NaN	NaN	NaN	NaN	NaN	NaN	1.234947267E-4	1.895387104E-4	3.006165207E-4	6.409364287E-4	8.210387896E-4	7.697069086E-4	7.470493438E-4	6.593519356E-4	4.390426038E-4	3.364224685E-4	4.194233334E-4	4.142135440E-4	3.325767757E-4	4.255131935E-4	5.573906237E-4
4.763747565E-4	3.551729606E-4	4.575314233E-4	4.800419265E-4	4.903699737E-4	6.135572330E-4	6.757587544E-4	5.517881364E-4	3.693279577E-4	2.441619872E-4	2.176121052E-4	NaN	NaN	NaN	NaN	NaN	1.996695355E-4	3.659788927E-4	6.155953160E-4	7.179166423E-4	7.138669607E-4	8.025137940E-4	7.845584769E-4	5.903542624E-4	4.835431755E-4	5.027173320E-4	4.210495681E-4	3.669881844E-4	5.689555546E-4	7.478809566E-4
3.064689226E-4	2.205457713E-4	4.332429380E-4	5.655089626E-4	5.353791639E-4	5.407711724E-4	6.307465956E-4	6.574844592E-4	5.354803288E-4	3.557590244E-4	2.678263409E-4	2.682333288E-4	NaN	NaN	NaN	NaN	2.291570272E-4	4.074041208E-4	5.370822619E-4	5.641634343E-4	6.428826600E-4	8.176420815E-4	8.175682160E-4	6.592134014E-4	5.503260181E-4	4.633194767E-4	3.363027936E-4	3.861272417E-4	6.887889467E-4	8.912822232E-4
