NaN	NaN	NaN	NaN	1.729552896E-4	3.324903664E-4	4.402697086E-4	4.964487744E-4	5.532133509E-4	5.033063353E-4	4.518766946E-4	5.825670087E-4	7.537856000E-4	7.314996328E-4	6.187488325E-4	7.533669705E-4	8.878979716E-4	6.404629676E-4	3.645645920E-4	NaN	NaN	NaN	NaN	NaN	NaN	4.661239218E-4	4.817608860E-4	5.581840524E-4	6.523636985E-4	6.119087921E-4	4.510544240E-4	3.367933678E-4	2.669758396E-4	2.015844366E-4
NaN	NaN	NaN	1.420141489E-4	3.162976354E-4	4.198883253E-4	5.181478336E-4	6.230133004E-4	6.194373709E-4	4.871021374E-4	4.917266779E-4	6.532269181E-4	7.594450726E-4	7.510691066E-4	6.954950513E-4	7.568530855E-4	7.718623965E-4	4.855628940E-4	2.383251413E-4	NaN	NaN	NaN	NaN	NaN	4.180183751E-4	3.828374611E-4	2.686627267E-4	3.862455487E-4	6.550556282E-4	7.696857210E-4	6.144838408E-4	4.245435703E-4	3.695859341E-4	3.857917618E-4
NaN	NaN	2.008501615E-4	4.090165312E-4	5.827820278E-4	5.518834223E-4	5.136908148E-4	5.536852987E-4	4.921874497E-4	3.976760490E-4	5.205707857E-4	6.939709419E-4	7.470019045E-4	7.627920131E-4	7.431463455E-4	7.355046109E-4	6.568112876E-4	3.325441794E-4	8.211428212E-5	NaN	NaN	NaN	NaN	NaN	4.603489360E-4	4.173464258E-4	2.295650920E-4	2.637335274E-4	5.403570249E-4	7.698199479E-4	7.487428957E-4	6.407265901E-4	6.318269880E-4	6.187306135E-4
NaN	2.355211909E-4	4.426299420E-4	7.717085537E-4	9.697411442E-4	8.134063683E-4	5.870559253E-4	4.490279243E-4	2.900943509E-4	2.973136434E-4	5.532244686E-4	7.098755450E-4	7.011704729E-4	6.875125691E-4	6.636962062E-4	6.777925300E-4	6.292268517E-4	2.972027869E-4	NaN	NaN	NaN	NaN	NaN	NaN	4.405023356E-4	5.107657635E-4	3.903771576E-4	3.563107166E-4	4.850249970E-4	6.419642596E-4	7.283559535E-4	7.786987117E-4	8.011886384E-4	6.517777219E-4
9.673526074E-5	3.910640953E-4	6.200250937E-4	9.136268054E-4	1.112696365E-3	9.593995055E-4	6.487813662E-4	3.562602506E-4	1.234787778E-4	2.035608777E-4	5.046110018E-4	6.346247392E-4	6.061588647E-4	5.466203438E-4	5.002484540E-4	6.132355775E-4	7.176117506E-4	4.641149135E-4	6.666724221E-5	NaN	NaN	NaN	NaN	2.258517488E-4	4.334583937E-4	4.995906493E-4	4.816912406E-4	5.356558249E-4	5.747594987E-4	5.618387950E-4	6.575974403E-4	8.309272234E-4	8.438847726E-4	5.444345879E-4
3.220857761E-4	6.127612432E-4	7.206287701E-4	8.128850604E-4	9.696088382E-4	9.381906711E-4	6.786236190E-4	3.545765067E-4	1.339597366E-4	2.059032995E-4	4.256583052E-4	5.140833673E-4	4.564082483E-4	3.190242278E-4	2.705493825E-4	5.111956270E-4	7.672641077E-4	6.384961307E-4	3.302771365E-4	1.250729692E-4	NaN	NaN	1.147505318E-4	3.356693778E-4	4.832238774E-4	4.660517734E-4	4.602207046E-4	6.086995127E-4	6.938742008E-4	6.353160134E-4	6.942907930E-4	8.414297481E-4	7.914648741E-4	4.848101235E-4
5.439294036E-4	7.950417348E-4	7.974882610E-4	7.079917705E-4	8.212777902E-4	9.192359867E-4	7.612232002E-4	5.145579926E-4	3.577989992E-4	3.403940937E-4	4.256637476E-4	4.938046914E-4	3.782697022E-4	1.148490337E-4	4.265056486E-5	3.196783655E-4	5.868399167E-4	5.359611823E-4	4.205739824E-4	3.952884872E-4	3.081110772E-4	2.146653569E-4	2.618940489E-4	4.331539385E-4	5.507972674E-4	5.002848920E-4	4.321607121E-4	5.492453347E-4	7.095885230E-4	7.313532406E-4	7.390575483E-4	7.529781433E-4	6.618276821E-4	5.150879151E-4
7.098999340E-4	8.742622449E-4	7.960416842E-4	6.569345715E-4	7.816971629E-4	9.314862546E-4	8.206941420E-4	6.776211667E-4	6.270312588E-4	5.581742735E-4	5.371120642E-4	6.002055015E-4	4.840424808E-4	1.811652328E-4	9.075359412E-5	2.887416340E-4	4.359819286E-4	3.940517781E-4	4.173024499E-4	5.405938718E-4	5.224848865E-4	4.163238045E-4	4.218940740E-4	5.193698453E-4	5.613570102E-4	4.933887394E-4	4.239063128E-4	5.316287279E-4	7.357961149E-4	8.152038790E-4	7.855330477E-4	7.335237460E-4	6.811696803E-4	6.684258697E-4
8.841491654E-4	9.015814867E-4	7.427684031E-4	6.589231780E-4	8.100784617E-4	9.109991952E-4	7.881365018E-4	7.183190901E-4	7.775464910E-4	7.593408809E-4	6.983255153E-4	7.182920235E-4	6.332452758E-4	4.060591746E-4	3.436211846E-4	4.514277389E-4	4.946014960E-4	4.851879785E-4	5.980055430E-4	7.353099063E-4	6.574266590E-4	5.057695671E-4	5.242828047E-4	5.899699172E-4	5.325412494E-4	4.531394225E-4	4.996309872E-4	6.866405602E-4	8.679754683E-4	9.265773697E-4	8.943603025E-4	8.366259281E-4	8.055644576E-4	8.190904628E-4
9.790409822E-4	8.834259934E-4	7.310143556E-4	7.467804826E-4	8.742826758E-4	8.520398987E-4	7.038325421E-4	6.677138153E-4	7.455334417E-4	7.792998222E-4	7.621471887E-4	7.614999777E-4	6.758646923E-4	4.886712995E-4	4.217375536E-4	4.844379437E-4	5.341674550E-4	6.108696689E-4	7.690467173E-4	8.348201518E-4	6.741192192E-4	5.324758240E-4	5.982992006E-4	6.401338615E-4	5.219104933E-4	4.766834900E-4	6.383007858E-4	8.161796723E-4	8.526817546E-4	8.691351395E-4	8.851991734E-4	7.953910390E-4	6.994180731E-4	7.084902027E-4
9.700253140E-4	8.561502909E-4	7.712185034E-4	8.468859014E-4	9.232786251E-4	7.819102611E-4	5.898483214E-4	5.317819887E-4	5.401826929E-4	5.827198620E-4	6.852786173E-4	7.803859189E-4	7.306936895E-4	5.313463625E-4	3.962663468E-4	4.252995423E-4	5.298899487E-4	6.629657582E-4	7.581897662E-4	6.572965067E-4	4.361388274E-4	4.163035774E-4	5.757198087E-4	5.937131355E-4	4.669716873E-4	4.848781100E-4	6.911490927E-4	7.546021370E-4	5.923446151E-4	5.583301536E-4	6.184110534E-4	5.108953919E-4	3.947546065E-4	4.324375768E-4
9.559505852E-4	8.375510224E-4	7.518276689E-4	7.902593934E-4	8.211482782E-4	6.581464550E-4	4.728653585E-4	3.929640516E-4	3.428352647E-4	3.840367426E-4	5.672099069E-4	7.663022843E-4	8.305462543E-4	7.004975341E-4	5.001680693E-4	4.216054222E-4	5.150657380E-4	6.819842383E-4	7.060793578E-4	4.216221278E-4	1.160086176E-4	1.877719478E-4	4.265650350E-4	4.589857126E-4	3.525496868E-4	3.769113682E-4	5.675780703E-4	5.661016330E-4	3.113440762E-4	2.638330916E-4	3.642618540E-4	3.022929595E-4	2.570037614E-4	3.355773224E-4
8.927367744E-4	7.421037881E-4	6.462653982E-4	6.758986856E-4	6.894833641E-4	5.689183017E-4	4.526486155E-4	3.791568743E-4	3.077824076E-4	3.538418678E-4	5.343862576E-4	7.374922279E-4	8.976258687E-4	8.941613487E-4	6.652842858E-4	4.367346701E-4	4.608780437E-4	6.578181637E-4	6.725271815E-4	3.252452589E-4	2.090252747E-5	1.448723924E-4	4.017324536E-4	4.570819438E-4	3.543635830E-4	2.894992940E-4	3.903313191E-4	3.640947107E-4	1.305460173E-4	1.768575166E-4	4.038610787E-4	4.125261330E-4	3.780769766E-4	4.353357363E-4
7.531630690E-4	6.780261174E-4	6.906786584E-4	8.062156267E-4	8.058099775E-4	6.532167317E-4	5.259426543E-4	4.274904204E-4	3.437454870E-4	4.111918970E-4	5.974182277E-4	7.436190499E-4	8.342647925E-4	8.234716952E-4	6.348485476E-4	4.488584818E-4	4.894032027E-4	6.595614832E-4	6.526468787E-4	3.697128268E-4	1.760358718E-4	3.358976974E-4	5.556291435E-4	5.853343173E-4	4.538059875E-4	3.153551370E-4	3.386581666E-4	2.729184343E-4	5.602815872E-5	1.844325452E-4	5.169538781E-4	5.558351986E-4	4.644404689E-4	4.834131105E-4
6.472331588E-4	7.773680263E-4	9.369421750E-4	1.111124293E-3	1.083341427E-3	8.369719726E-4	6.335492944E-4	5.392518942E-4	4.895161255E-4	5.681359908E-4	7.321016164E-4	7.493003504E-4	5.981687573E-4	4.288655182E-4	3.326801816E-4	3.703506372E-4	5.157432752E-4	6.405046443E-4	6.440136349E-4	5.025117425E-4	3.880631120E-4	4.821406037E-4	6.102913176E-4	5.780998035E-4	4.265030730E-4	3.233924799E-4	3.697108186E-4	3.081625327E-4	1.271937945E-4	2.464858699E-4	5.216018180E-4	5.313970614E-4	4.321697343E-4	4.810937098E-4
7.115475019E-4	9.546541260E-4	1.114526298E-3	1.246898086E-3	1.226162771E-3	9.730749880E-4	7.804759080E-4	7.688127807E-4	7.822670159E-4	8.235324640E-4	8.753208094E-4	7.399965543E-4	4.317812563E-4	1.948547579E-4	1.634299842E-4	2.901196422E-4	4.414038267E-4	5.262019113E-4	5.752483848E-4	5.598953576E-4	4.671172355E-4	4.517579800E-4	4.895082093E-4	4.507604172E-4	3.626978141E-4	3.248144640E-4	3.628681297E-4	3.399946727E-4	3.247080022E-4	5.150057841E-4	7.234491059E-4	7.079243078E-4	6.129785907E-4	6.388002075E-4
8.991237846E-4	1.061268500E-3	1.054830733E-3	1.057381742E-3	1.046723686E-3	9.050103836E-4	8.324030205E-4	8.899472305E-4	9.286392014E-4	9.240895743E-4	8.627089555E-4	6.831241772E-4	4.573945480E-4	3.305107239E-4	3.349456238E-4	4.125090491E-4	4.840590700E-4	4.919120693E-4	4.987436696E-4	5.024437560E-4	4.369880771E-4	3.874074901E-4	3.692574101E-4	3.763091518E-4	4.292559170E-4	4.404852516E-4	3.930127714E-4	3.802768770E-4	5.461588735E-4	8.638471481E-4	1.085454249E-3	1.082916046E-3	9.555057622E-4	8.607247728E-4
1.004466787E-3	1.063797856E-3	9.112501284E-4	7.853893330E-4	7.495366735E-4	7.264369633E-4	7.394003333E-4	7.613257039E-4	7.890841807E-4	7.966165431E-4	7.196358638E-4	6.145226071E-4	5.377148045E-4	4.747099883E-4	4.556205822E-4	5.446108989E-4	6.708953297E-4	6.877113483E-4	6.471579545E-4	6.073430413E-4	5.395783810E-4	4.868807737E-4	4.255257954E-4	4.154729249E-4	5.211984389E-4	5.830737646E-4	5.478638341E-4	5.526845925E-4	7.265731110E-4	9.974903660E-4	1.158646774E-3	1.144812442E-3	1.015123678E-3	8.843296091E-4
1.019714633E-3	1.058661961E-3	8.621754241E-4	6.971560069E-4	6.849105121E-4	7.308000932E-4	6.936411955E-4	5.745953531E-4	5.482200650E-4	6.039107102E-4	6.260938244E-4	6.424246239E-4	6.241928786E-4	5.042497069E-4	3.926660283E-4	4.931632429E-4	7.492113509E-4	8.901414112E-4	8.899066597E-4	8.251269464E-4	7.240221021E-4	6.781838601E-4	6.368882023E-4	5.693105049E-4	5.627634237E-4	6.088939263E-4	6.592275458E-4	6.808547187E-4	7.491665892E-4	8.891313919E-4	9.610128473E-4	9.419248672E-4	8.816834888E-4	8.117984398E-4
9.848222835E-4	1.003728132E-3	8.142988081E-4	6.987732486E-4	7.717222325E-4	8.322248468E-4	7.011333364E-4	4.780801537E-4	3.707031137E-4	4.381580802E-4	5.900748074E-4	6.786478334E-4	6.349882460E-4	5.293937284E-4	4.284734896E-4	4.587073636E-4	6.700705853E-4	8.157394477E-4	7.886638632E-4	7.090845029E-4	6.604751688E-4	7.042595535E-4	7.424841751E-4	6.639845087E-4	5.553781521E-4	5.538245896E-4	6.393241347E-4	6.449156208E-4	6.413346855E-4	7.405937649E-4	8.027348085E-4	8.151800721E-4	8.245539502E-4	7.819117163E-4
9.320608224E-4	9.000749560E-4	7.435632288E-4	6.813547807E-4	7.595731295E-4	7.476915489E-4	5.999966525E-4	4.544991534E-4	3.367264289E-4	3.454543184E-4	4.986256827E-4	5.538853584E-4	5.061014672E-4	5.685990327E-4	6.059018779E-4	5.478926469E-4	6.167294923E-4	6.716891658E-4	5.241836188E-4	3.764476569E-4	3.945826029E-4	5.221840693E-4	5.956714740E-4	5.701212212E-4	5.314251757E-4	5.595503026E-4	6.610562559E-4	6.992525887E-4	7.052203873E-4	7.686705794E-4	7.806497160E-4	7.624792052E-4	7.614440983E-4	7.237284444E-4
9.275421617E-4	8.504610742E-4	6.720146630E-4	5.688074161E-4	5.685121869E-4	5.035186186E-4	4.437944153E-4	4.790690728E-4	4.299454740E-4	3.542810155E-4	3.955652064E-4	4.300624714E-4	5.015910137E-4	7.172254845E-4	7.589821471E-4	5.721457419E-4	5.565757747E-4	6.124598440E-4	4.562949180E-4	2.770312713E-4	2.792182204E-4	3.689533332E-4	4.023931106E-4	4.696992110E-4	6.143559585E-4	6.970597897E-4	7.446652744E-4	8.089390467E-4	8.635524428E-4	8.595798863E-4	7.726683980E-4	6.998255267E-4	6.559544127E-4	6.410821225E-4
