NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.098525292E-4	4.326612907E-5	1.922579540E-4	3.627355618E-4	4.279180721E-4	4.520183429E-4	5.242207553E-4	6.613013102E-4	7.520106738E-4	6.499558804E-4	4.513968597E-4	3.912486427E-4	4.014979932E-4	4.832182312E-4	6.569052348E-4	6.451195222E-4
NaN	NaN	NaN	NaN	NaN	NaN	6.317510852E-4	3.140242770E-4	1.709909411E-4	3.425175091E-4	4.981347010E-4	5.431253230E-4	5.918094539E-4	7.284447784E-4	8.885106072E-4	8.670647512E-4	6.090741954E-4	3.728629381E-4	4.062624648E-4	5.359179340E-4	6.262005190E-4	6.928983494E-4	5.913670757E-4
NaN	NaN	NaN	NaN	NaN	5.837367498E-4	6.451947265E-4	3.935186542E-4	2.577732957E-4	4.261004506E-4	5.759233027E-4	5.916076479E-4	6.558029563E-4	8.871087921E-4	1.074153697E-3	9.367025923E-4	5.970758502E-4	3.848992055E-4	4.687488254E-4	6.684673717E-4	7.493714220E-4	6.769776810E-4	4.770944361E-4
NaN	NaN	NaN	NaN	3.568882821E-4	4.265866883E-4	4.946770496E-4	3.262649698E-4	2.143468009E-4	3.779634135E-4	5.823149695E-4	6.585558294E-4	7.484587841E-4	1.011409797E-3	1.187179820E-3	9.849905036E-4	6.398631376E-4	4.544982221E-4	5.144049064E-4	7.053531008E-4	7.738471613E-4	6.325710565E-4	4.014617007E-4
NaN	NaN	5.341728684E-4	4.885127419E-4	2.958354307E-4	2.970975183E-4	3.486483474E-4	2.035276266E-4	1.095727057E-4	2.834896732E-4	5.787494592E-4	7.895546732E-4	9.088463266E-4	1.081972732E-3	1.174252830E-3	9.818418184E-4	6.868912606E-4	4.945738474E-4	4.976518103E-4	6.755440263E-4	7.824400091E-4	6.834499654E-4	4.776733404E-4
1.892242290E-4	2.886561269E-4	5.306143430E-4	4.919429193E-4	2.745129750E-4	2.811471641E-4	3.142385103E-4	1.594898786E-4	9.706264973E-5	2.607887436E-4	5.469630705E-4	8.292110288E-4	9.706423734E-4	1.026418991E-3	1.036760048E-3	9.090696112E-4	6.900483277E-4	4.919604398E-4	4.523505340E-4	6.119371392E-4	7.322080201E-4	6.623287336E-4	4.719279241E-4
1.831971022E-4	2.488564933E-4	4.769692605E-4	4.679463746E-4	3.024275939E-4	3.318002855E-4	3.548231325E-4	2.516864915E-4	2.654499549E-4	3.623581142E-4	5.029703025E-4	7.349975640E-4	8.595440886E-4	8.432982722E-4	8.337716572E-4	7.718547131E-4	6.219936768E-4	4.966683337E-4	4.921422224E-4	5.935741938E-4	6.137205637E-4	4.608888412E-4	2.333562152E-4
2.052850614E-4	2.766888065E-4	4.892900470E-4	5.324693047E-4	4.252311192E-4	4.600786779E-4	5.222292966E-4	5.349666462E-4	5.853670882E-4	5.494267098E-4	5.146313924E-4	6.218547351E-4	6.673174794E-4	6.140975747E-4	6.245298428E-4	6.197378971E-4	5.563524901E-4	5.839264486E-4	6.754488568E-4	6.991353002E-4	5.941363634E-4	3.788250906E-4	1.490035356E-4
3.316415823E-4	4.323175817E-4	5.991396611E-4	6.114155403E-4	5.085256416E-4	5.950716441E-4	7.839704631E-4	8.807542035E-4	8.358435007E-4	6.309471792E-4	4.803261836E-4	4.783828044E-4	4.486820253E-4	3.829236375E-4	4.231840430E-4	5.172963138E-4	5.721032503E-4	6.880907458E-4	8.039741660E-4	7.857720484E-4	6.975075812E-4	5.885932478E-4	4.425067164E-4
3.205903631E-4	4.544775875E-4	6.135597359E-4	5.917866365E-4	4.957752535E-4	6.604770897E-4	9.254422621E-4	9.765992872E-4	8.017657092E-4	5.228979280E-4	3.584231308E-4	3.393825609E-4	3.099287569E-4	2.364597021E-4	2.923177381E-4	5.091864150E-4	6.575962179E-4	7.392441621E-4	8.020473178E-4	8.164497558E-4	8.870376623E-4	9.677032358E-4	8.902485133E-4
1.799437450E-4	3.389878839E-4	5.716567975E-4	6.226356491E-4	5.875389325E-4	7.611010806E-4	9.205606184E-4	8.065965376E-4	5.764635280E-4	3.538743476E-4	NaN	NaN	NaN	NaN	NaN	4.283419112E-4	6.401417777E-4	7.444143412E-4	8.188956417E-4	8.841107483E-4	1.079002046E-3	1.270167646E-3	1.166901435E-3
2.061210398E-4	3.342987038E-4	5.652206019E-4	6.846826291E-4	7.067851839E-4	8.120316779E-4	8.210652741E-4	6.138614845E-4	4.109732981E-4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.727037253E-4	8.264299831E-4	8.798605413E-4	1.071668928E-3	1.272590947E-3	1.082626753E-3
3.667064593E-4	3.976165608E-4	4.674228257E-4	5.532084615E-4	6.177038886E-4	6.874515093E-4	6.525511271E-4	4.782946489E-4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	7.656944217E-4	7.793098921E-4	8.743455401E-4	9.935309645E-4	7.487828261E-4
5.797506310E-4	4.580356472E-4	2.748955158E-4	2.690239635E-4	4.387608205E-4	6.165494560E-4	6.114332355E-4	4.230463237E-4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5.555473617E-4	5.475243670E-4	5.487128510E-4	3.734254278E-4
8.573568193E-4	6.487538922E-4	2.629747032E-4	1.328884100E-4	3.637772461E-4	6.505463389E-4	6.607688847E-4	4.230935010E-4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.422656107E-4	2.265375224E-4	1.694270177E-4
1.041994779E-3	9.495364502E-4	5.743647926E-4	3.070733801E-4	3.664593387E-4	5.272350973E-4	5.072213826E-4	3.476270649E-4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.449372259E-4	2.030164032E-4
1.051507308E-3	1.148605836E-3	9.583606734E-4	5.868276930E-4	3.158466716E-4	2.017748629E-4	1.740490115E-4	2.128031774E-4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.516052675E-4	2.939841943E-4
1.009042724E-3	1.149748918E-3	1.086820615E-3	6.616697647E-4	1.781439641E-4	NaN	1.964796320E-5	2.532109211E-4	4.737972631E-4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.902472042E-4	4.257518740E-4	4.415329604E-4
9.580179467E-4	1.003214275E-3	9.234690224E-4	5.503642606E-4	1.646651799E-4	5.778979175E-5	2.387568384E-4	5.243686610E-4	7.544757100E-4	8.713659481E-4	8.073854842E-4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.971667855E-4	4.359334416E-4	5.628606305E-4	6.439823774E-4
9.113895940E-4	8.466521977E-4	7.194506470E-4	5.109791528E-4	3.876914852E-4	4.037519975E-4	5.160009605E-4	6.794803194E-4	8.175093681E-4	8.593240054E-4	8.031804464E-4	7.154307677E-4	6.098490558E-4	5.398874637E-4	NaN	NaN	NaN	2.150547516E-4	2.477896051E-4	4.216920643E-4	5.555208772E-4	6.469601067E-4	6.921827444E-4
9.362553246E-4	8.177619893E-4	6.711251917E-4	5.637407885E-4	5.365883699E-4	5.059761461E-4	4.846232478E-4	5.390530569E-4	5.989541532E-4	6.184218219E-4	6.619375781E-4	6.720999372E-4	4.892091965E-4	2.819795045E-4	2.796733461E-4	3.230071161E-4	2.861986286E-4	2.537323744E-4	3.099236055E-4	4.456450115E-4	5.787169212E-4	6.679807557E-4	6.597901811E-4
9.356499650E-4	8.056436200E-4	6.311771576E-4	4.849156830E-4	3.779805265E-4	2.949654299E-4	3.090045939E-4	4.137375217E-4	4.625160072E-4	4.830750695E-4	6.002209848E-4	6.540456670E-4	4.239666159E-4	1.558256190E-4	1.551981695E-4	2.705466468E-4	3.228545829E-4	3.304651473E-4	3.742699628E-4	5.129938363E-4	6.599375047E-4	7.175207138E-4	6.784573197E-4
8.779113414E-4	7.337097777E-4	5.170259974E-4	3.250246809E-4	1.899188646E-4	1.692132355E-4	3.015338734E-4	5.050702603E-4	6.068098010E-4	5.949259503E-4	5.976486718E-4	5.848465371E-4	4.355096899E-4	2.683587663E-4	2.722808858E-4	3.642170341E-4	3.768876486E-4	3.220437793E-4	3.916083078E-4	6.450197543E-4	8.265619399E-4	7.925640093E-4	7.123164251E-4
8.753610891E-4	7.424787618E-4	5.402009119E-4	3.589317494E-4	2.451027685E-4	2.806335688E-4	4.364745400E-4	6.914336700E-4	9.164534858E-4	8.642259054E-4	5.929727922E-4	4.106164561E-4	4.166419385E-4	5.106108147E-4	6.021544104E-4	6.033830578E-4	4.786649952E-4	3.588124819E-4	4.654080840E-4	7.750171353E-4	9.936869610E-4	9.716869681E-4	8.989953785E-4
8.813613676E-4	7.765730843E-4	6.595511804E-4	5.161314039E-4	3.754303907E-4	3.855464747E-4	5.145621253E-4	8.105147863E-4	1.173021505E-3	1.144355978E-3	6.897267886E-4	3.120078763E-4	2.701449557E-4	4.324940965E-4	5.900127580E-4	6.170326960E-4	5.618938594E-4	5.520301056E-4	6.542184856E-4	8.468813030E-4	1.077720081E-3	1.215892029E-3	1.222791732E-3
9.076831047E-4	8.275780710E-4	7.509518764E-4	6.294407649E-4	4.699963902E-4	4.394244461E-4	5.427088472E-4	8.188231732E-4	1.175784157E-3	1.219208119E-3	8.817351772E-4	5.088794860E-4	2.750566055E-4	1.646027667E-4	1.848344400E-4	3.253776522E-4	5.385967670E-4	7.129324949E-4	7.785363123E-4	8.362818626E-4	1.049214159E-3	1.298940508E-3	1.376218628E-3
9.724302217E-4	9.420901188E-4	8.228428196E-4	7.034380105E-4	6.157995085E-4	5.882867263E-4	6.309319870E-4	7.710857899E-4	9.527268703E-4	1.025810721E-3	9.442417067E-4	7.843726198E-4	5.352247972E-4	2.134658134E-4	5.569564019E-5	2.074254444E-4	5.029066233E-4	7.032647263E-4	7.640824770E-4	7.970109000E-4	9.397240356E-4	1.135409810E-3	1.226815744E-3
9.679761133E-4	9.580483893E-4	7.997658686E-4	7.148848963E-4	7.407582016E-4	7.261797437E-4	6.886443589E-4	6.867459160E-4	7.233053911E-4	7.956797490E-4	8.291100385E-4	8.171090740E-4	7.136504864E-4	4.660442064E-4	3.098300949E-4	3.829472116E-4	5.269156536E-4	6.610590499E-4	7.753123646E-4	8.109225892E-4	8.237612201E-4	8.702698979E-4	9.212655714E-4
9.208271513E-4	9.472194361E-4	8.163125603E-4	7.686042809E-4	8.024309063E-4	7.547755959E-4	6.887246855E-4	6.431191578E-4	6.529277889E-4	7.039356278E-4	6.770559703E-4	6.789640756E-4	7.019745535E-4	5.981075228E-4	5.309776752E-4	5.483654677E-4	5.572668160E-4	6.620251806E-4	7.856233278E-4	7.482242654E-4	6.294980412E-4	5.461226683E-4	5.769318086E-4
8.839766379E-4	1.016530790E-3	9.560080362E-4	9.129893733E-4	8.583202143E-4	7.658005925E-4	7.167805452E-4	6.737080985E-4	6.899664295E-4	6.825595628E-4	5.590293440E-4	5.630489904E-4	6.306623109E-4	5.405932316E-4	4.708556226E-4	4.646179441E-4	4.709278583E-4	5.766514805E-4	6.087917718E-4	4.693587543E-4	3.228004789E-4	2.405709092E-4	3.516747965E-4
8.310663397E-4	9.891290683E-4	1.012084889E-3	1.010766020E-3	8.931406774E-4	7.652568165E-4	7.054502494E-4	6.572286948E-4	6.938846200E-4	6.597746396E-4	5.087838508E-4	5.272348644E-4	5.984582240E-4	4.987095599E-4	3.800433478E-4	3.280322999E-4	3.707983124E-4	4.955622717E-4	4.743616155E-4	3.335208457E-4	2.693554852E-4	2.617233258E-4	4.151003377E-4
8.488169406E-4	9.076872957E-4	9.891915834E-4	1.038533286E-3	8.994170930E-4	7.667293539E-4	7.129869191E-4	6.685080589E-4	6.884245086E-4	6.210331921E-4	4.458335170E-4	4.154847411E-4	5.186190247E-4	5.819117068E-4	5.299785989E-4	4.046789545E-4	4.047948169E-4	5.586871994E-4	6.377666723E-4	6.253377651E-4	6.194488378E-4	5.538580008E-4	5.501664127E-4
1.046557096E-3	1.027740771E-3	1.045635436E-3	1.030574087E-3	9.174823645E-4	8.644632762E-4	8.525934536E-4	7.963705575E-4	7.463775109E-4	6.216376205E-4	3.857346019E-4	2.421695972E-4	3.798613325E-4	6.659816136E-4	7.307212218E-4	5.473819911E-4	4.821953771E-4	6.559454487E-4	8.718640893E-4	9.998630267E-4	9.835102828E-4	7.639538380E-4	5.522725987E-4
1.230779220E-3	1.211306779E-3	1.108490163E-3	1.006833627E-3	9.786967421E-4	9.796452941E-4	9.263525135E-4	8.770090644E-4	8.767258842E-4	7.865807274E-4	5.309445551E-4	3.094302374E-4	4.212423228E-4	7.341864402E-4	7.725440082E-4	5.711392150E-4	5.382778472E-4	7.141162059E-4	9.269724251E-4	1.074546599E-3	1.052549691E-3	7.997250650E-4	5.250959075E-4
1.183039974E-3	1.165112131E-3	1.071329345E-3	1.026137499E-3	1.039861818E-3	9.373154026E-4	7.901864592E-4	8.484498831E-4	1.014561742E-3	9.696620982E-4	6.995477015E-4	4.737775889E-4	5.396222696E-4	7.241390995E-4	6.485487102E-4	4.892335273E-4	5.549125490E-4	7.046529790E-4	7.985111442E-4	8.507212042E-4	8.388253627E-4	6.796646630E-4	4.289343779E-4
1.056463458E-3	1.009354251E-3	9.987287922E-4	1.052694395E-3	1.037629088E-3	8.568933699E-4	7.276990218E-4	8.509451873E-4	1.019956777E-3	9.260711377E-4	6.603284273E-4	4.974282347E-4	5.480489344E-4	6.134683499E-4	4.968536668E-4	4.264815943E-4	5.131560611E-4	5.837292993E-4	5.959852133E-4	5.725764786E-4	5.654486595E-4	4.809148668E-4	2.178081777E-4
1.047073514E-3	9.664176614E-4	9.463733877E-4	9.816077072E-4	9.464403265E-4	8.526372840E-4	8.183911559E-4	8.397128549E-4	8.497422095E-4	7.640304393E-4	6.205784739E-4	5.602011224E-4	5.844014813E-4	5.218373262E-4	3.955583961E-4	3.955567954E-4	4.105453263E-4	3.913190158E-4	4.206958984E-4	4.223576398E-4	4.477053008E-4	3.910913656E-4	1.101233793E-4
