8.080041152E-4	6.898031570E-4	6.899795844E-4	7.772509707E-4	8.461768157E-4	8.707817760E-4	8.331274730E-4	7.742019952E-4	8.059723186E-4	7.996290224E-4	6.279430818E-4	4.833267303E-4	4.688632325E-4	4.917740589E-4	5.509442999E-4	6.613388541E-4	7.457772153E-4	7.160574896E-4	5.740356864E-4	4.388396628E-4	4.241789866E-4	5.255040014E-4	6.346223527E-4	6.387258181E-4	5.761638749E-4	6.553827552E-4	8.283618954E-4	8.302921779E-4	7.300967118E-4	6.492721732E-4	5.275460426E-4	4.645756853E-4
6.565475487E-4	5.756829050E-4	6.234639441E-4	7.763135945E-4	8.708704845E-4	8.744797087E-4	8.015129715E-4	7.601776742E-4	8.210854139E-4	7.293064846E-4	4.641240521E-4	3.527337976E-4	3.856373369E-4	4.009374534E-4	4.130270099E-4	4.079155042E-4	4.117335484E-4	5.105391028E-4	5.707421806E-4	4.534859036E-4	3.703397524E-4	4.671530041E-4	5.726585514E-4	5.930687184E-4	6.175696617E-4	7.668358739E-4	9.201627690E-4	7.776151178E-4	4.870462290E-4	3.945285280E-4	3.946124343E-4	3.570238769E-4
7.095888141E-4	7.053209702E-4	7.434458239E-4	7.923137164E-4	7.708254852E-4	7.123593241E-4	6.748683518E-4	7.644599536E-4	8.993824595E-4	7.260123966E-4	3.961703624E-4	3.025629558E-4	2.930346527E-4	2.608874929E-4	3.409736382E-4	4.078627098E-4	3.841166908E-4	4.817607405E-4	6.335446960E-4	5.673310952E-4	4.605794384E-4	5.211108946E-4	5.823939573E-4	5.574885872E-4	5.386806442E-4	6.631964352E-4	8.679947932E-4	7.844893844E-4	4.560943635E-4	3.223159292E-4	3.695017076E-4	3.859102726E-4
8.276851149E-4	8.070353651E-4	7.624969003E-4	7.040236960E-4	5.772302975E-4	4.586671130E-4	5.027480074E-4	7.453865837E-4	9.343153797E-4	7.415511645E-4	4.565314448E-4	4.026805982E-4	2.951754141E-4	1.845039369E-4	4.049222043E-4	6.830403581E-4	6.474820548E-4	5.443973350E-4	5.886298604E-4	5.262659979E-4	3.781646374E-4	4.071055737E-4	5.058550742E-4	4.567448923E-4	3.293490736E-4	4.148091248E-4	7.459440967E-4	8.909197641E-4	7.257196703E-4	5.795023753E-4	5.052295164E-4	4.292546073E-4
9.004288004E-4	8.017384680E-4	7.126146229E-4	7.084928220E-4	6.028829957E-4	4.378937883E-4	4.892076831E-4	7.354796398E-4	8.550888742E-4	6.643544766E-4	5.002195248E-4	5.281848134E-4	3.967992670E-4	2.522328869E-4	4.788791121E-4	7.619283861E-4	6.726104184E-4	4.696057003E-4	4.633845529E-4	3.722114780E-4	1.122396934E-4	4.556585918E-5	1.966034470E-4	2.649783273E-4	2.038374951E-4	2.951055940E-4	6.708548754E-4	9.885587497E-4	9.952577529E-4	8.460427052E-4	6.596529274E-4	5.237793666E-4
9.310562164E-4	8.422681713E-4	7.772112731E-4	8.223065524E-4	7.308567292E-4	5.221460597E-4	5.146785988E-4	6.958487211E-4	7.474171580E-4	5.638236762E-4	4.745826300E-4	5.523428554E-4	4.699779965E-4	3.723449190E-4	4.993799375E-4	5.557683180E-4	3.569321416E-4	2.424422564E-4	3.473930410E-4	NaN	NaN	NaN	1.694350203E-6	2.257594024E-4	3.424097958E-4	4.406722146E-4	7.385144709E-4	1.072886516E-3	1.104662544E-3	9.240381187E-4	7.737656706E-4	7.160992245E-4
9.414438973E-4	9.497821447E-4	9.444114403E-4	9.287964785E-4	7.781421882E-4	5.377070629E-4	4.716238182E-4	6.210908759E-4	6.675109034E-4	4.847074160E-4	4.234767694E-4	5.434724153E-4	5.342166987E-4	5.003943807E-4	5.518548423E-4	4.046975228E-4	7.294061652E-5	3.100465619E-6	NaN	NaN	NaN	NaN	9.858082194E-6	3.194616875E-4	5.700916518E-4	6.917249993E-4	8.985555614E-4	1.142897061E-3	1.096690306E-3	9.016729309E-4	8.648863877E-4	8.714366122E-4
8.840321098E-4	9.282602696E-4	9.336490184E-4	8.315733867E-4	6.722920807E-4	5.231768591E-4	5.392119056E-4	7.293596864E-4	7.408000529E-4	4.923671368E-4	4.059647326E-4	5.153741804E-4	5.138777778E-4	4.984564730E-4	5.393354804E-4	3.599034972E-4	5.340057669E-6	NaN	NaN	NaN	NaN	NaN	NaN	3.273553157E-4	6.378893158E-4	7.920573116E-4	9.375059744E-4	1.104075811E-3	1.052911161E-3	8.956303936E-4	8.727796376E-4	8.107588510E-4
8.347240509E-4	8.165531908E-4	7.428895333E-4	5.942412536E-4	4.938018392E-4	4.698748817E-4	6.176765310E-4	8.905666182E-4	9.101027390E-4	6.429317873E-4	4.905364476E-4	4.689711204E-4	3.916242858E-4	3.895268310E-4	4.623709538E-4	3.414180828E-4	1.106540076E-4	NaN	NaN	NaN	NaN	NaN	NaN	3.182311193E-4	5.683401250E-4	6.781382835E-4	7.403807831E-4	8.860860253E-4	9.605982341E-4	8.825808764E-4	7.398738526E-4	5.017269868E-4
7.929389249E-4	8.010568563E-4	6.918231375E-4	5.518596154E-4	4.913028679E-4	4.572604958E-4	5.546290777E-4	7.932747249E-4	8.643170586E-4	7.202174165E-4	6.393729709E-4	6.073060795E-4	4.997226060E-4	4.395454307E-4	4.301129666E-4	3.202157386E-4	2.656787983E-4	NaN	NaN	NaN	NaN	NaN	NaN	4.108848225E-4	5.312740686E-4	5.343254888E-4	4.637120874E-4	5.411275779E-4	7.110413280E-4	7.354391855E-4	5.384391407E-4	2.044362482E-4
