NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.007497533E-4	1.361446484E-4	4.637042002E-5	9.859736019E-5	3.219513164E-4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5.816622870E-4	5.397228524E-4	4.473462468E-4	2.604558540E-4	2.205156197E-4	5.071238265E-4	8.038989617E-4	8.464682614E-4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8.119724225E-4	9.455771069E-4	9.783637943E-4	7.073314046E-4	4.832213453E-4	7.320527802E-4	1.137196086E-3	1.192801283E-3	8.432160248E-4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	7.306109765E-4	8.700286271E-4	1.124399132E-3	1.286678365E-3	1.090007718E-3	8.565439493E-4	1.048507984E-3	1.407327945E-3	1.387180178E-3	9.683716926E-4	4.849889665E-4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.045696209E-4	8.138607373E-4	9.599506739E-4	1.174948062E-3	1.293304143E-3	1.189690200E-3	1.090328791E-3	1.251358422E-3	1.482709660E-3	1.425352530E-3	1.106623560E-3	7.874374278E-4	5.083987489E-4	2.255501167E-4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.170367854E-4	6.355608348E-4	8.337908657E-4	9.938882431E-4	1.119246706E-3	1.102266717E-3	9.983675554E-4	1.029736362E-3	1.227144036E-3	1.389820944E-3	1.357553992E-3	1.177785220E-3	1.003476325E-3	8.072903729E-4	5.558425328E-4	3.015568072E-4	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.393546504E-4	4.994623014E-4	6.756963558E-4	7.329532527E-4	8.046921575E-4	8.549516206E-4	7.722187438E-4	6.952728727E-4	8.763652877E-4	1.185256639E-3	1.358151669E-3	1.348576625E-3	1.193499309E-3	1.038718969E-3	9.429859347E-4	8.451234316E-4	7.123019896E-4	4.259062989E-4	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5.309971748E-4	5.019984674E-4	6.624387461E-4	7.044161321E-4	5.958817201E-4	5.934484070E-4	6.442865124E-4	5.913829664E-4	5.658686860E-4	8.218059083E-4	1.159342006E-3	1.315042959E-3	1.314054010E-3	1.131227473E-3	9.299839730E-4	9.242256056E-4	1.012255438E-3	1.023666700E-3	7.942164084E-4	3.503837215E-4	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8.369283751E-4	7.220329135E-4	6.685758708E-4	7.463895017E-4	6.808816688E-4	5.341288052E-4	5.411030725E-4	6.494010449E-4	6.839386770E-4	6.512576365E-4	7.862905622E-4	9.884726023E-4	1.071522711E-3	1.048608101E-3	8.286413504E-4	6.196071045E-4	7.062027580E-4	9.330003522E-4	1.087064273E-3	1.023773453E-3	7.307881606E-4	4.597546358E-4	NaN	NaN	NaN	NaN
