NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.275798772E-3	1.221005572E-3	1.115612336E-3	8.293946157E-4	6.028778153E-4	7.798745646E-4	1.098951208E-3	1.192256692E-3	1.265083207E-3	1.376457047E-3	1.229552669E-3	9.001140716E-4	6.870265934E-4	6.540965987E-4	8.144681924E-4	NaN	NaN	1.315952861E-3	8.390021976E-4	7.370407693E-4	8.280331385E-4	6.616277387E-4	4.986002459E-4	5.860588280E-4	7.440021145E-4	8.262479096E-4	8.589904173E-4	8.700123290E-4	7.298655692E-4	6.851714570E-4	9.938062867E-4	1.224020962E-3	NaN	NaN	NaN	9.066998609E-4	8.173502283E-4	7.858785102E-4	NaN	NaN	NaN	NaN	NaN	NaN	9.284665575E-4	8.605423500E-4	7.130295853E-4	4.772006359E-4	5.840983940E-4	7.817136357E-4	7.503241068E-4	7.233111537E-4	8.465481806E-4	9.432493825E-4	8.603315800E-4	7.011409616E-4	6.532588741E-4	7.109178696E-4	8.019356173E-4	9.675298934E-4	1.111264341E-3	1.081515569E-3	1.041019103E-3	1.044546487E-3	8.557624533E-4	6.304954295E-4	6.624508533E-4	7.643235149E-4	7.905729581E-4	8.327514515E-4	9.164169314E-4	NaN	NaN	NaN	NaN	NaN	NaN	1.093156752E-3	8.913693018E-4	6.785923615E-4	5.736079765E-4	7.131852326E-4	8.869398735E-4	9.127099765E-4	8.961255080E-4	8.919614484E-4	8.378066123E-4	7.693576626E-4	8.238221053E-4	7.973117172E-4	5.633730907E-4	5.036250805E-4	7.783600013E-4	1.107321819E-3	1.187768881E-3	8.946033777E-4	5.024492275E-4	4.210427869E-4	6.333771744E-4	9.915233823E-4	1.366313547E-3	1.421066932E-3	NaN	NaN	NaN	NaN	NaN	NaN	8.356136968E-4	6.760047399E-4	7.107288693E-4	8.312807186E-4	9.831805946E-4	1.227988047E-3	1.405727933E-3	1.315473230E-3	1.015071990E-3	7.162354887E-4
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.258149277E-3	1.137927640E-3	1.105066622E-3	9.837901453E-4	6.519160816E-4	6.250909064E-4	1.071728417E-3	1.331033767E-3	1.205661218E-3	1.113787876E-3	9.918601718E-4	6.425631000E-4	4.115473130E-4	6.191455177E-4	9.736005450E-4	1.150178607E-3	1.294681686E-3	1.376208500E-3	1.133182668E-3	7.708553458E-4	7.298839046E-4	8.590386133E-4	6.985243526E-4	4.721592413E-4	5.839951918E-4	8.946845774E-4	1.069482765E-3	9.903553873E-4	7.960678777E-4	6.291389582E-4	7.369660307E-4	1.064216020E-3	1.175874146E-3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8.658234729E-4	6.747114821E-4	4.149057204E-4	3.823321604E-4	6.688283756E-4	7.235249504E-4	5.511597265E-4	6.319911918E-4	9.476076229E-4	1.090859645E-3	9.723837138E-4	8.695254801E-4	NaN	NaN	NaN	1.138479915E-3	1.248614863E-3	1.005691476E-3	7.457625470E-4	7.598808734E-4	8.052348858E-4	8.615115657E-4	1.023147721E-3	1.023101388E-3	7.773585967E-4	5.849555600E-4	7.111479063E-4	NaN	NaN	NaN	NaN	NaN	1.215730328E-3	9.222198860E-4	6.191635621E-4	4.970371956E-4	5.326934624E-4	6.587091484E-4	7.804738125E-4	8.623107569E-4	9.051942616E-4	8.919471875E-4	8.410532027E-4	8.720307960E-4	9.738171939E-4	8.391756564E-4	5.582173471E-4	6.084984634E-4	1.001482247E-3	1.288040541E-3	1.173275523E-3	8.263608906E-4	6.146932137E-4	6.457290146E-4	8.002649411E-4	1.095896936E-3	1.376088243E-3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	7.519737701E-4	5.813378375E-4	6.094681448E-4	7.434512372E-4	9.089517989E-4	1.126714516E-3	1.251247828E-3	1.089315163E-3	7.843688363E-4	6.981689949E-4
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.226303866E-3	1.125733252E-3	9.395878878E-4	8.616463165E-4	6.566213560E-4	3.804311855E-4	5.526778405E-4	1.001865137E-3	1.079558861E-3	9.228963172E-4	8.670704556E-4	6.610057317E-4	2.837485226E-4	1.884411613E-4	5.631141830E-4	1.054459368E-3	1.274098060E-3	1.223868108E-3	1.086473116E-3	9.604794323E-4	8.211479289E-4	7.857232122E-4	8.901741239E-4	7.667149766E-4	4.776724381E-4	5.209099036E-4	8.896738291E-4	1.135113300E-3	9.879742283E-4	6.302645197E-4	4.755818518E-4	7.387787336E-4	1.046325197E-3	1.097361324E-3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9.058627766E-4	9.278078796E-4	8.850449813E-4	7.115455228E-4	7.938857889E-4	9.196482133E-4	6.720031379E-4	3.986391530E-4	5.572480732E-4	9.453070234E-4	1.090140315E-3	1.120856265E-3	NaN	NaN	NaN	NaN	NaN	1.217043609E-3	9.084503399E-4	6.240437506E-4	6.662416272E-4	8.767875843E-4	1.086527831E-3	1.226168708E-3	1.109570614E-3	7.742620073E-4	6.014203536E-4	8.569798665E-4	1.232279348E-3	NaN	NaN	NaN	NaN	1.129389624E-3	8.076378144E-4	4.733587848E-4	3.748171148E-4	5.164902541E-4	7.125362172E-4	9.212936275E-4	1.106056035E-3	1.124107977E-3	1.016890397E-3	8.758034674E-4	8.162746090E-4	8.910188917E-4	8.240753668E-4	6.385404849E-4	7.721253787E-4	1.183068263E-3	1.300396281E-3	9.772422491E-4	7.458819891E-4	8.336257306E-4	8.875807980E-4	8.590163197E-4	1.033505658E-3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	7.864257786E-4	7.581388345E-4	8.845319971E-4	9.425977478E-4	9.552308475E-4	1.007677871E-3	1.042980235E-3	9.379517869E-4	7.482548244E-4	7.801102474E-4
NaN	NaN	NaN	NaN	NaN	NaN	1.141229644E-3	1.184833352E-3	1.121457084E-3	9.410427301E-4	7.564423722E-4	5.347109400E-4	2.693152346E-4	2.894151548E-4	6.613203441E-4	8.552488871E-4	7.270246861E-4	6.937170983E-4	7.337500574E-4	5.251091206E-4	2.753405424E-4	3.530063550E-4	6.908570067E-4	1.037300099E-3	1.222550636E-3	1.147563802E-3	9.435357642E-4	8.079976542E-4	6.676189951E-4	6.174353766E-4	7.745777839E-4	7.524116081E-4	5.011106259E-4	4.852073616E-4	7.641718839E-4	9.919825243E-4	8.938214742E-4	5.825750995E-4	5.591700901E-4	9.328844026E-4	1.147791510E-3	1.128323958E-3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.939735613E-4	9.416639223E-4	1.129547367E-3	1.185250003E-3	1.261477475E-3	1.088644029E-3	6.348897587E-4	3.949018137E-4	6.551928236E-4	1.085155527E-3	1.226946013E-3	1.318123541E-3	NaN	NaN	NaN	NaN	NaN	1.153449179E-3	1.032872126E-3	8.706335793E-4	8.255799185E-4	9.458744316E-4	1.078819740E-3	1.035232912E-3	7.266716566E-4	3.898068098E-4	4.339296429E-4	9.255295736E-4	1.406488242E-3	1.510493457E-3	NaN	1.304547070E-3	1.195617951E-3	9.915344417E-4	6.967429072E-4	3.855583491E-4	2.911336196E-4	5.278196768E-4	8.516280213E-4	1.143506379E-3	1.311633503E-3	1.222700346E-3	1.092653372E-3	9.986307705E-4	8.807650302E-4	8.549636113E-4	7.921857177E-4	6.670989096E-4	8.219779120E-4	1.159990556E-3	1.146953902E-3	8.293706342E-4	7.930696011E-4	1.016230439E-3	1.003752463E-3	8.741192287E-4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.089840312E-3	1.008704770E-3	1.155447331E-3	1.289834734E-3	1.187855843E-3	1.041449141E-3	9.983185446E-4	1.026885351E-3	1.017977251E-3	8.605749463E-4	7.495426107E-4
NaN	NaN	NaN	NaN	1.124598202E-3	8.884888957E-4	8.654956473E-4	9.299600497E-4	8.085378213E-4	6.673905882E-4	5.774469464E-4	3.993773425E-4	2.533110965E-4	4.472386208E-4	7.439542678E-4	7.175741484E-4	6.320474204E-4	7.448302349E-4	7.440520567E-4	4.910461721E-4	3.696547938E-4	6.151588750E-4	9.571560076E-4	1.169774681E-3	1.304405159E-3	1.315315953E-3	1.131303841E-3	8.311282727E-4	5.470918841E-4	5.284178187E-4	7.482994115E-4	8.065081784E-4	6.978252204E-4	7.091916632E-4	8.410296869E-4	9.240368381E-4	8.321578498E-4	6.731835310E-4	7.665586891E-4	1.048374805E-3	1.130459248E-3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8.522464777E-4	7.201167755E-4	8.853180334E-4	1.114824903E-3	1.311565284E-3	1.360341208E-3	1.096657361E-3	7.142671384E-4	6.006316980E-4	8.640934248E-4	1.240407582E-3	1.397345564E-3	1.409165096E-3	NaN	NaN	NaN	NaN	1.172425691E-3	1.107106218E-3	1.170121715E-3	1.097211498E-3	9.974006098E-4	1.018717070E-3	1.051498228E-3	8.592640515E-4	4.091142328E-4	8.425940905E-5	2.561421425E-4	8.268447709E-4	1.346654841E-3	1.496157725E-3	1.388106612E-3	1.274067559E-3	1.154177357E-3	9.275565390E-4	6.618873449E-4	4.589328601E-4	4.597870866E-4	7.206043811E-4	1.025644364E-3	1.251394860E-3	1.266621985E-3	1.016542432E-3	8.685466019E-4	9.260135703E-4	9.819610277E-4	9.769807803E-4	8.374293102E-4	6.903895410E-4	7.618626696E-4	8.636080311E-4	7.835517754E-4	7.515891339E-4	9.796954691E-4	1.198262558E-3	1.122077345E-3	9.970132960E-4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.105549047E-3	1.132474281E-3	1.290473389E-3	1.267145853E-3	1.028442173E-3	9.026014013E-4	1.033473178E-3	1.225921558E-3	1.220701844E-3	9.135317523E-4	5.965848686E-4
1.009687083E-3	1.158766099E-3	1.316858688E-3	1.316942507E-3	9.814527584E-4	5.945353769E-4	5.742210196E-4	6.523611373E-4	5.562168662E-4	4.933637683E-4	5.606795312E-4	6.550881080E-4	6.884153700E-4	6.751329638E-4	5.835628253E-4	5.058360985E-4	6.475372356E-4	8.102803258E-4	7.339481963E-4	5.304305814E-4	4.870487610E-4	7.735407562E-4	1.173014636E-3	1.363823540E-3	1.407325035E-3	1.430791570E-3	1.309939893E-3	9.979367023E-4	7.231427589E-4	7.219288964E-4	8.338975604E-4	8.470455068E-4	8.851675666E-4	1.010507112E-3	1.112837112E-3	1.042681513E-3	8.244541241E-4	7.131769089E-4	7.478857297E-4	8.175122784E-4	9.758977685E-4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8.093786309E-4	7.136581698E-4	7.810795214E-4	8.984053275E-4	1.044330653E-3	1.171038137E-3	1.138997846E-3	9.139350732E-4	7.133538602E-4	7.025456871E-4	8.238051087E-4	1.031828811E-3	1.202568994E-3	1.174660400E-3	9.760762914E-4	8.420364466E-4	1.001838828E-3	1.145284972E-3	1.045271638E-3	1.017990406E-3	1.065215329E-3	1.057702582E-3	1.098597306E-3	1.176334335E-3	1.185352216E-3	9.815151570E-4	5.467151059E-4	1.739524596E-4	1.862552162E-4	6.176810712E-4	1.095980871E-3	1.230522292E-3	1.158711617E-3	1.129786251E-3	1.036028960E-3	7.741858717E-4	5.303805228E-4	4.951416631E-4	6.268013967E-4	8.318288601E-4	1.079786685E-3	1.264475519E-3	1.155440114E-3	7.931649452E-4	5.857059150E-4	7.127067656E-4	1.027495367E-3	1.213294221E-3	1.109698787E-3	9.986681398E-4	9.303885745E-4	7.011592388E-4	5.486200098E-4	7.255728124E-4	1.011065906E-3	1.142806956E-3	1.112540136E-3	1.103498042E-3	1.296300790E-3	NaN	NaN	NaN	NaN	NaN	NaN	1.154009602E-3	1.101638307E-3	1.078277361E-3	1.150954282E-3	1.029017381E-3	7.730082143E-4	7.384839701E-4	1.037602429E-3	1.273905393E-3	1.095253043E-3	6.607520627E-4	3.977699380E-4
9.168474935E-4	1.162381028E-3	1.375564723E-3	1.289245905E-3	8.510179468E-4	4.692811635E-4	4.344157060E-4	4.876958265E-4	4.331398814E-4	4.548495344E-4	6.803016877E-4	1.000204589E-3	1.124051865E-3	8.624256589E-4	4.384513304E-4	3.311608452E-4	5.498508690E-4	6.223504897E-4	5.431706668E-4	5.573712988E-4	6.220705109E-4	8.297093445E-4	1.196460216E-3	1.342146774E-3	1.234808704E-3	1.178530976E-3	1.118741115E-3	9.258033824E-4	7.678246475E-4	7.681326242E-4	7.494351594E-4	7.536751218E-4	9.777609957E-4	1.229035086E-3	1.295271097E-3	1.066693803E-3	7.292683003E-4	6.490833475E-4	6.461348385E-4	6.982526393E-4	1.107513555E-3	1.566055231E-3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	7.547027781E-4	4.790182575E-4	5.279153702E-4	7.802348700E-4	9.246940026E-4	9.564911597E-4	9.536922444E-4	8.474021452E-4	6.226541009E-4	5.218942533E-4	6.133798743E-4	7.014336297E-4	8.146841428E-4	9.226228576E-4	8.628122741E-4	7.968514692E-4	8.555572131E-4	9.432511288E-4	9.551978437E-4	8.933774661E-4	8.275238797E-4	8.025497664E-4	9.333177004E-4	1.170946634E-3	1.285629929E-3	1.240159967E-3	1.097735949E-3	8.344839443E-4	4.569939920E-4	2.868981101E-4	6.294449558E-4	1.037641079E-3	1.048711129E-3	9.800385451E-4	9.732558974E-4	8.009300800E-4	5.418873625E-4	4.361050087E-4	5.243830383E-4	5.990469363E-4	7.062247023E-4	1.059748814E-3	1.320336130E-3	1.134689781E-3	7.880909252E-4	6.438340642E-4	7.673362852E-4	1.097208355E-3	1.331491861E-3	1.326774363E-3	1.297433977E-3	1.120316214E-3	7.886055391E-4	7.334106485E-4	8.976357058E-4	9.597439785E-4	9.811961791E-4	1.009028172E-3	1.039701165E-3	1.191848540E-3	1.308166422E-3	1.209345995E-3	1.055685105E-3	8.940228145E-4	8.250628598E-4	1.031051157E-3	1.165111200E-3	9.797699749E-4	8.345058886E-4	8.982139989E-4	9.209088748E-4	7.677804097E-4	6.814063527E-4	8.919963730E-4	1.079174574E-3	8.827772108E-4	5.617712159E-4	4.766522616E-4
7.184922579E-4	1.100223395E-3	1.382653834E-3	1.317874878E-3	9.711992461E-4	5.926850135E-4	3.909715742E-4	3.836191609E-4	4.138779186E-4	5.394811160E-4	8.419823716E-4	1.116260188E-3	1.112807309E-3	7.764179027E-4	3.855824179E-4	3.638040507E-4	5.826341221E-4	5.482751294E-4	4.439986369E-4	6.403780426E-4	8.530581836E-4	9.447703487E-4	1.084374613E-3	1.082793926E-3	9.402833530E-4	9.277964127E-4	9.039436118E-4	7.002872298E-4	5.181571469E-4	4.702990118E-4	4.135711933E-4	5.503268912E-4	1.042027026E-3	1.379395602E-3	1.285332837E-3	9.184075752E-4	6.120116450E-4	6.296944339E-4	7.375398418E-4	9.647000115E-4	1.397565240E-3	1.558540622E-3	1.259243232E-3	8.433773764E-4	6.400753045E-4	7.637020899E-4	1.126204501E-3	1.319716801E-3	1.165294088E-3	9.851001669E-4	7.788173971E-4	5.485870061E-4	5.765971146E-4	7.636031951E-4	8.685408393E-4	9.117652662E-4	9.453547536E-4	8.210340748E-4	5.424059345E-4	4.685225431E-4	6.633175653E-4	8.136556717E-4	8.516678936E-4	8.113238146E-4	7.507670089E-4	8.500578697E-4	9.125730139E-4	7.832617266E-4	7.272161893E-4	7.301127189E-4	6.180571509E-4	5.957085523E-4	8.316862513E-4	1.102374517E-3	1.195824938E-3	1.147633651E-3	1.090613776E-3	1.011668937E-3	7.777410210E-4	6.974794087E-4	1.040122705E-3	1.211919705E-3	9.569476242E-4	8.018253720E-4	7.461003261E-4	5.905771977E-4	5.327994586E-4	6.543251220E-4	7.997915382E-4	7.570062298E-4	7.713913219E-4	1.120965113E-3	1.287009334E-3	1.002856647E-3	7.742247544E-4	8.453587070E-4	9.989431128E-4	1.109177945E-3	1.157966326E-3	1.185467350E-3	1.187620219E-3	1.012962894E-3	8.994633681E-4	1.045177691E-3	1.044402015E-3	8.974884404E-4	9.326086729E-4	9.343724814E-4	8.035693318E-4	7.990907761E-4	8.866987191E-4	9.311206522E-4	9.630241548E-4	9.765049326E-4	1.007307437E-3	1.098378794E-3	1.108284458E-3	9.014311945E-4	6.498175790E-4	6.718956865E-4	8.471049368E-4	7.831486873E-4	5.876178620E-4	7.142782561E-4	1.064040232E-3	1.131638186E-3	9.691070300E-4	8.952416247E-4
6.138296449E-4	9.544385248E-4	1.152665005E-3	1.203220221E-3	1.149950782E-3	8.159134304E-4	4.488042614E-4	4.415945441E-4	5.511690397E-4	6.786747253E-4	9.499812149E-4	1.073981519E-3	8.287050878E-4	4.649150360E-4	3.567027743E-4	5.976140383E-4	8.302375791E-4	6.596243475E-4	4.293019883E-4	6.763134152E-4	1.071224804E-3	1.134442282E-3	9.712096071E-4	7.772909012E-4	7.190083852E-4	8.471958572E-4	9.067901992E-4	7.505737594E-4	5.308103282E-4	3.664629185E-4	2.638448786E-4	5.055231741E-4	1.116460771E-3	1.396687818E-3	1.158197410E-3	8.363414090E-4	6.840973510E-4	7.579054800E-4	9.772385238E-4	1.304582809E-3	1.425957540E-3	1.070198836E-3	6.650586147E-4	6.141405320E-4	8.389652940E-4	1.096358057E-3	1.270619570E-3	1.271789777E-3	1.093022758E-3	9.512915276E-4	8.514049696E-4	7.633111090E-4	7.718180423E-4	8.149502100E-4	8.957629325E-4	1.057969639E-3	1.118171378E-3	8.703176281E-4	5.487755407E-4	5.720496411E-4	8.305095253E-4	9.018703131E-4	7.480336353E-4	6.479482981E-4	7.834924036E-4	9.998824680E-4	9.385888698E-4	7.360625896E-4	7.189268363E-4	6.582440692E-4	4.646738817E-4	4.963816027E-4	7.318509743E-4	8.829631843E-4	9.513132973E-4	1.000075485E-3	1.050045365E-3	1.080616843E-3	1.027892693E-3	1.091098995E-3	1.254269155E-3	1.054931665E-3	6.104441709E-4	4.019417684E-4	3.979293106E-4	5.214928533E-4	7.370972889E-4	9.016909171E-4	1.028413302E-3	1.044832636E-3	1.008600811E-3	1.044562086E-3	9.098989540E-4	6.127884262E-4	5.466220318E-4	8.121139836E-4	1.048134873E-3	1.000089571E-3	8.685257635E-4	8.588164346E-4	8.647107752E-4	8.272817940E-4	9.624751983E-4	1.094563864E-3	8.690004470E-4	7.093878812E-4	8.550675120E-4	7.854796713E-4	4.486280959E-4	2.912862983E-4	4.382074694E-4	6.768691237E-4	8.389580180E-4	9.482667665E-4	1.013198635E-3	1.032915432E-3	1.078180387E-3	9.951272514E-4	7.331549423E-4	6.625619135E-4	7.609007880E-4	6.588977412E-4	4.926012480E-4	7.191694458E-4	1.240308280E-3	1.421396621E-3	1.210976858E-3	1.053371467E-3
7.898144540E-4	8.609886863E-4	7.872227579E-4	8.855685010E-4	1.029026113E-3	7.693556836E-4	5.150039215E-4	6.754819187E-4	7.644509897E-4	7.190385950E-4	8.862168179E-4	9.878026322E-4	7.140347734E-4	4.232240899E-4	5.565897445E-4	9.330607718E-4	1.014991198E-3	6.314956117E-4	3.091048857E-4	5.888005253E-4	1.133585465E-3	1.245412859E-3	8.677922888E-4	4.642519925E-4	3.479888546E-4	4.990990274E-4	7.894987939E-4	9.950317908E-4	9.032502421E-4	6.336643710E-4	4.806660581E-4	7.010339759E-4	1.152502373E-3	1.252137823E-3	1.030027401E-3	9.057133575E-4	8.533883374E-4	8.765253006E-4	1.087138080E-3	1.313026063E-3	1.137235551E-3	5.975174136E-4	2.897874510E-4	4.912047298E-4	9.672965971E-4	1.256045303E-3	1.193296979E-3	1.022225711E-3	9.145934018E-4	9.101866162E-4	9.230044088E-4	9.140823386E-4	9.046123596E-4	8.853457402E-4	9.892274393E-4	1.196074765E-3	1.149918884E-3	7.846883382E-4	5.831589224E-4	7.711961516E-4	9.570663678E-4	8.214088739E-4	5.412885221E-4	5.451932666E-4	8.966818568E-4	1.086346456E-3	9.047501371E-4	8.051633486E-4	8.408701979E-4	6.300927489E-4	3.795237571E-4	4.799865419E-4	6.967985537E-4	7.393233245E-4	7.306397310E-4	8.056950173E-4	9.859101847E-4	1.196648926E-3	1.325010904E-3	1.342228614E-3	1.124249771E-3	6.648807903E-4	2.810920996E-4	1.417591848E-4	2.468306629E-4	6.090135430E-4	9.274798795E-4	9.572359268E-4	9.404129814E-4	9.696901543E-4	9.006063920E-4	7.166541182E-4	4.962129751E-4	3.591044806E-4	4.063468659E-4	6.999021280E-4	9.914105758E-4	9.598370525E-4	7.787479553E-4	7.244046428E-4	7.727540215E-4	8.966036839E-4	1.092963503E-3	1.030690386E-3	6.409576163E-4	5.120763090E-4	7.012520800E-4	6.381786079E-4	2.685968939E-4	8.254151180E-5	3.350339830E-4	6.508136285E-4	7.433127612E-4	8.090260671E-4	8.802687516E-4	9.086651844E-4	1.021732343E-3	1.079335925E-3	9.585458320E-4	8.711460396E-4	7.936804323E-4	6.220514188E-4	5.662771291E-4	8.367222617E-4	1.238098601E-3	1.281104400E-3	9.922930039E-4	8.318971377E-4
